Date,bitcoin-marketcap_raw,bitcoin-hashrate_raw,difficulty-btc--sma3,difficulty-btc--sma7,difficulty-btc--sma14,difficulty-btc--sma30,difficulty-btc--sma90,difficulty-btc--ema3,difficulty-btc--ema7,difficulty-btc--ema14,difficulty-btc--ema30,difficulty-btc--ema90,difficulty-btc--wma14,difficulty-btc--wma30,difficulty-btc--wma90,difficulty-btc--std3,difficulty-btc--std30,difficulty-btc--var30,difficulty-btc--var90,difficulty-btc--trx14,difficulty-btc--trx30,difficulty-btc--trx90,hashrate-btc--sma3,hashrate-btc--sma7,hashrate-btc--sma14,hashrate-btc--sma30,hashrate-btc--sma90,hashrate-btc--ema7,hashrate-btc--ema14,hashrate-btc--ema30,hashrate-btc--ema90,hashrate-btc--wma3,hashrate-btc--wma7,hashrate-btc--wma30,hashrate-btc--wma90,hashrate-btc--std7,hashrate-btc--std14,hashrate-btc--std30,hashrate-btc--std90,hashrate-btc--mom14,hashrate-btc--trx7,hashrate-btc--trx30,hashrate-btc--trx90,mining_profitability-btc--sma3,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema3,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma3,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--std14,mining_profitability-btc--std30,mining_profitability-btc--std90,mining_profitability-btc--var30,mining_profitability-btc--var90,mining_profitability-btc--trx14,mining_profitability-btc--trx30,mining_profitability-btc--trx90,mining_profitability-btc--roc90,sentinusd-btc--sma7,sentinusd-btc--sma30,sentinusd-btc--sma90,sentinusd-btc--std30,sentinusd-btc--std90,sentinusd-btc--var30,sentinusd-btc--trx30,sentinusd-btc--trx90,transactionfees-btc--sma14,transactionfees-btc--wma30,transactionfees-btc--wma90,transactionfees-btc--var3,transactionfees-btc--var7,transactionfees-btc--trx3,transactionfees-btc--trx30,transactionfees-btc--trx90,median_transaction_fee-btc--std90,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--roc90,confirmationtime-btc--sma30,confirmationtime-btc--std30,confirmationtime-btc--var30,confirmationtime-btc--trx14,confirmationtime-btc--trx90,marketcap-btc--ema90,marketcap-btc--var90,marketcap-btc--trx30,marketcap-btc--trx90,transactionvalue-btc--sma14,transactionvalue-btc--sma30,transactionvalue-btc--sma90,transactionvalue-btc--ema7,transactionvalue-btc--ema14,transactionvalue-btc--ema30,transactionvalue-btc--ema90,transactionvalue-btc--wma7,transactionvalue-btc--wma30,transactionvalue-btc--var90,transactionvalue-btc--trx14,transactionvalue-btc--trx90,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--ema90,mediantransactionvalue-btc--wma14,mediantransactionvalue-btc--std30,mediantransactionvalue-btc--var7,mediantransactionvalue-btc--var30,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma14,fee_to_reward-btc--wma90,fee_to_reward-btc--std14,fee_to_reward-btc--std90,fee_to_reward-btc--var14,fee_to_reward-btc--var90,fee_to_reward-btc--trx14,fee_to_reward-btc--trx30,size-btc--sma7,size-btc--sma14,size-btc--sma90,size-btc--ema90,size-btc--wma7,size-btc--wma14,size-btc--wma90,size-btc--std30,size-btc--std90,size-btc--var30,size-btc--var90,size-btc--trx30,transactions-btc--ema7,transactions-btc--ema14,transactions-btc--std30,transactions-btc--var90,transactions-btc--trx30,sentbyaddress-btc--std90,sentbyaddress-btc--var90,sentbyaddress-btc--trx14,sentbyaddress-btc--trx30,sentbyaddress-btc--trx90,top100cap-btc--sma7,top100cap-btc--sma90,top100cap-btc--ema30,top100cap-btc--ema90,top100cap-btc--wma14,top100cap-btc--wma30,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--var30,top100cap-btc--var90,top100cap-btc--trx14,top100cap-btc--trx90,top100cap-btc--rsi7,activeaddresses-btc--sma30,activeaddresses-btc--sma90,activeaddresses-btc--wma90,activeaddresses-btc--trx30,activeaddresses-btc--trx90,price-btc--mom30,price-btc--trx90,bitcoin-price_raw_90d
2013/04/01,1039517192.0,65502112131790.0,6695826.0,6695826.0,5956136.0,5182950.0,3906368.0,6690038.0,6526779.0,6096133.0,5385392.0,4296620.0,6368099.0,5652157.0,4430808.0,291547.0,1899346.0,901878886924.0,1168545930405.0,1.93,1.046,0.271,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,49808994690260.0,37564285480092.0,11901094115686.0,11490406893431.0,19252887180085.0,22738053510663.0,17734217715780.0,1.91,1.373,0.372,6932.0,6279.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6442.0,5894.0,4650.0,1716.0,2048.0,2778.0,1048771.0,1929846.0,1.522,1.215,0.091,221.516,139714681.0,91370923.0,50015639.0,99974157.0,83568369.0,2498708038563228.0,3.029,0.276,0.072,0.065,0.042,0.001,0.001,1.552,2.712,1.218,0.023,2.482,1.11,606.456,8.4,2.341,1.37,-0.129,-0.057,428855865.0,5.195220233693293e+16,2.586,1.097,2385.0,1883.0,1039.0,2644.0,2446.0,2019.0,1335.0,2746.0,2254.0,719749.0,3.688,-0.116,54.928,26.683,31.061,55.935,31.265,54.242,244.368,2.119,0.207,1.154,1.279,1.237,1.215,1.157,1.205,1.245,0.555,0.956,0.077,0.229,-0.381,0.05,168568.0,149845.0,154528.0,149099.0,163582.0,158761.0,156022.0,61285.0,50776.0,938951276.0,644540075.0,-0.019,53153.0,53166.0,17233.0,64627438.0,0.092,10848.0,29422322.0,0.982,0.406,0.253,19.799,19.396,19.545,19.501,19.706,19.568,19.428,0.367,0.322,0.034,0.026,0.063,-0.057,77.854,64764.0,57136.0,60273.0,0.538,0.27,61.597,1.025,89.829
2013/04/02,1183101461.0,61845596902013.0,6695826.0,6695826.0,6088148.0,5260549.0,3947659.0,6692932.0,6569041.0,6176092.0,5469936.0,4349349.0,6466725.0,5749761.0,4492115.0,291547.0,1949365.0,950005633515.0,1243754847226.0,1.948,1.085,0.279,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,50898629883949.0,38225151777783.0,11887441553889.0,11315233330806.0,19640918710600.0,23513282442924.0,16383817402884.0,2.016,1.406,0.384,7394.0,6503.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,6670.0,6058.0,4740.0,1734.0,2170.0,2884.0,1177343.0,2079147.0,1.605,1.241,0.104,257.863,160510202.0,99082516.0,52609580.0,113391979.0,94000481.0,3214435238744518.0,3.121,0.312,0.075,0.068,0.043,0.001,0.001,3.267,2.777,1.251,0.024,2.534,1.139,716.218,8.367,2.337,1.366,-0.129,-0.059,445432691.0,5.898440351722694e+16,2.665,1.129,2545.0,2012.0,1081.0,3083.0,2706.0,2172.0,1403.0,3140.0,2417.0,841849.0,3.769,-0.089,57.343,27.577,32.466,61.272,35.145,207.029,308.786,2.21,0.23,1.163,1.286,1.243,1.223,1.161,1.229,1.248,0.563,0.953,0.079,0.227,-0.33,0.038,170577.0,152916.0,155210.0,149678.0,165301.0,162174.0,156482.0,61721.0,50230.0,952368214.0,630754328.0,-0.015,55638.0,54489.0,17526.0,63840999.0,0.086,11689.0,34157477.0,1.036,0.432,0.256,19.861,19.401,19.576,19.513,19.764,19.602,19.442,0.408,0.345,0.042,0.03,0.074,-0.056,80.298,66291.0,57678.0,61036.0,0.569,0.274,75.291,1.057,85.608
2013/04/03,1318189886.0,60270367548897.0,6695826.0,6695826.0,6220161.0,5338147.0,3988950.0,6694379.0,6600737.0,6245390.0,5549026.0,4400920.0,6547748.0,5842360.0,4552514.0,291547.0,1986041.0,986089374520.0,1315553871298.0,1.943,1.122,0.288,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,51824489851457.0,38841863840867.0,7672492273609.0,10182774073258.0,20044305085355.0,24166298674113.0,15570142976346.0,1.991,1.435,0.396,8021.0,6645.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,6984.0,6269.0,4847.0,2113.0,2388.0,3037.0,1426075.0,2305788.0,1.738,1.276,0.117,288.861,168111305.0,106494613.0,55179282.0,122981011.0,102642361.0,3781082247256206.0,3.248,0.353,0.081,0.073,0.046,0.001,0.001,8.329,2.871,1.288,0.025,2.599,1.17,808.284,8.373,2.335,1.363,-0.126,-0.061,464614168.0,6.837353381290434e+16,2.756,1.163,2697.0,2144.0,1125.0,3432.0,2942.0,2321.0,1470.0,3494.0,2576.0,964945.0,3.964,-0.059,60.546,28.497,34.005,67.298,39.665,391.727,393.331,2.327,0.256,1.227,1.299,1.25,1.247,1.17,1.287,1.255,0.541,0.953,0.073,0.227,-0.212,0.036,169651.0,158643.0,156056.0,150437.0,168709.0,166346.0,157119.0,62497.0,49584.0,976467593.0,614641815.0,-0.006,57670.0,55726.0,17519.0,63855681.0,0.084,13162.0,43309807.0,1.163,0.468,0.26,19.906,19.405,19.602,19.523,19.81,19.632,19.454,0.437,0.364,0.048,0.033,0.085,-0.056,74.565,68078.0,58298.0,62124.0,0.611,0.279,86.649,1.09,83.204
2013/04/04,1357824968.0,55272455140085.0,6695826.0,6695826.0,6352174.0,5415745.0,4030241.0,6695103.0,6624509.0,6305448.0,5623013.0,4451358.0,6611170.0,5929952.0,4612006.0,291547.0,2010105.0,1010130109937.0,1383943002621.0,1.917,1.154,0.296,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,52379205377642.0,39339807259569.0,7013418016731.0,10042649490131.0,19731382020831.0,24532541967280.0,2607466853785.0,1.734,1.456,0.407,8540.0,6794.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7268.0,6465.0,4951.0,2382.0,2510.0,3171.0,1574429.0,2513253.0,1.884,1.316,0.132,288.561,180219729.0,111795343.0,57367531.0,129336259.0,108586735.0,4181966971339742.0,3.379,0.396,0.087,0.078,0.048,0.001,0.001,10.577,2.985,1.328,0.027,2.674,1.203,834.762,8.339,2.247,1.262,-0.09,-0.063,484245175.0,7.825542515096218e+16,2.854,1.2,2833.0,2244.0,1165.0,3636.0,3117.0,2446.0,1531.0,3775.0,2712.0,1069102.0,4.155,-0.027,65.817,29.741,35.968,75.667,47.626,715.096,567.056,2.481,0.285,1.3,1.315,1.261,1.292,1.187,1.383,1.271,0.627,0.963,0.098,0.232,0.014,0.049,176267.0,165396.0,156943.0,152000.0,181688.0,174736.0,158559.0,65394.0,51353.0,1069093010.0,659287348.0,0.013,59937.0,57195.0,18049.0,65661184.0,0.089,14643.0,53607673.0,1.339,0.514,0.264,19.947,19.41,19.627,19.534,19.852,19.661,19.467,0.459,0.383,0.053,0.037,0.094,-0.055,74.737,69795.0,58982.0,63235.0,0.663,0.284,86.935,1.126,81.424
2013/04/05,1414392012.0,51815454745655.0,6798904.0,6740002.0,6506275.0,5503651.0,4074968.0,6850081.0,6719647.0,6398730.0,5712177.0,4507483.0,6698222.0,6032489.0,4677386.0,291547.0,2049389.0,1049998827349.0,1468006625051.0,1.888,1.184,0.305,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,52665828439969.0,39753796023936.0,8735347100869.0,10254314157412.0,19126208338407.0,24746657364734.0,-2893323456757.0,1.299,1.468,0.419,9193.0,7008.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,7689.0,6726.0,5079.0,2886.0,2853.0,3368.0,2035077.0,2836428.0,2.074,1.368,0.147,379.844,196246808.0,116695551.0,59595584.0,135208527.0,114080731.0,4570336442425772.0,3.507,0.441,0.091,0.081,0.05,0.001,0.001,6.964,3.093,1.37,0.028,2.755,1.237,876.762,8.334,2.238,1.252,-0.04,-0.065,504687962.0,8.90027940952962e+16,2.957,1.238,3026.0,2341.0,1205.0,3814.0,3281.0,2568.0,1593.0,4022.0,2847.0,1177635.0,4.321,0.006,70.974,30.977,37.929,83.582,53.912,927.921,726.635,2.658,0.317,1.319,1.232,1.267,1.301,1.193,1.4,1.274,0.627,0.96,0.098,0.23,0.199,0.063,178017.0,169640.0,157741.0,152837.0,185138.0,178026.0,159287.0,65074.0,51155.0,1058645352.0,654198460.0,0.034,60257.0,57731.0,17976.0,64193454.0,0.095,15788.0,62312782.0,1.518,0.564,0.269,19.943,19.413,19.64,19.54,19.866,19.678,19.477,0.464,0.392,0.054,0.038,0.1,-0.054,52.947,70824.0,59500.0,64138.0,0.716,0.29,89.674,1.164,78.461
2013/04/06,1474827634.0,61828214750416.0,7124628.0,6879599.0,6708086.0,5613822.0,4127116.0,7261540.0,6957985.0,6568632.0,5838682.0,4577055.0,6853785.0,6172446.0,4756464.0,815581.0,2146374.0,1151730788639.0,1595799220682.0,1.885,1.216,0.314,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,53559612436911.0,40380708754402.0,9094706513828.0,10516744526294.0,18840725883715.0,25312859842570.0,9447687230248.0,1.134,1.479,0.431,9217.0,7170.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,7944.0,6909.0,5183.0,3039.0,2999.0,3486.0,2248623.0,3037954.0,2.225,1.419,0.163,285.864,197131177.0,120066807.0,61196359.0,134073592.0,115485795.0,4493932018598450.0,3.588,0.486,0.093,0.084,0.051,0.001,0.001,1.726,3.173,1.411,0.03,2.84,1.274,922.051,8.328,2.232,1.246,0.009,-0.066,526009713.0,1.0072315767911875e+17,3.062,1.278,3150.0,2423.0,1239.0,3725.0,3304.0,2626.0,1634.0,3962.0,2919.0,1226309.0,4.329,0.04,74.44,31.783,39.077,86.141,54.471,657.16,741.764,2.811,0.35,1.318,1.213,1.267,1.278,1.187,1.351,1.267,0.629,0.96,0.099,0.23,0.254,0.068,173848.0,172024.0,158385.0,152963.0,180275.0,176549.0,159305.0,62919.0,49700.0,989697975.0,617523242.0,0.052,58081.0,56907.0,17461.0,59472284.0,0.098,15763.0,62117197.0,1.589,0.607,0.274,19.925,19.416,19.653,19.547,19.876,19.695,19.486,0.467,0.4,0.055,0.04,0.103,-0.053,52.989,71381.0,59954.0,64656.0,0.762,0.296,94.124,1.203,73.017
2013/04/07,1563013110.0,62710014647861.0,7450353.0,7019195.0,6857511.0,5723993.0,4179265.0,7467270.0,7136739.0,6715881.0,5957025.0,4645098.0,6982440.0,6305297.0,4834395.0,629741.0,2217375.0,1229187540768.0,1718152888140.0,1.89,1.248,0.324,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,54446884782637.0,41016974443350.0,8740512343785.0,10841862131140.0,18707180146223.0,25919505474601.0,2446401956702.0,1.11,1.489,0.443,9428.0,7477.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,8243.0,7115.0,5295.0,3016.0,3162.0,3626.0,2498776.0,3286874.0,2.354,1.472,0.179,284.158,196574161.0,122750551.0,62405013.0,131287264.0,115946907.0,4309086448057972.0,3.616,0.53,0.098,0.087,0.053,0.001,0.001,1.025,3.244,1.452,0.032,2.93,1.312,979.512,8.321,2.225,1.237,0.052,-0.068,548800997.0,1.1413058805451376e+17,3.168,1.321,3236.0,2475.0,1261.0,3405.0,3190.0,2614.0,1652.0,3622.0,2921.0,1235699.0,4.11,0.073,76.177,32.319,39.631,84.789,53.553,519.486,716.987,2.913,0.383,1.349,1.217,1.272,1.28,1.19,1.349,1.268,0.576,0.956,0.083,0.229,0.289,0.072,182074.0,177415.0,159496.0,154115.0,188166.0,181001.0,160339.0,65397.0,49383.0,1069205906.0,609668881.0,0.074,59405.0,57770.0,17759.0,58397618.0,0.104,15865.0,62923228.0,1.581,0.64,0.278,19.914,19.418,19.66,19.551,19.873,19.706,19.494,0.47,0.404,0.055,0.041,0.103,-0.052,45.356,72398.0,60321.0,65253.0,0.803,0.302,100.79,1.245,66.0
2013/04/08,1799989332.0,63348133569501.0,7673000.0,7158791.0,6927309.0,5834164.0,4229880.0,7570135.0,7270804.0,6843497.0,6067733.0,4711645.0,7091172.0,6431039.0,4911181.0,601205.5,2264835.0,1282369083736.0,1838692472962.0,1.894,1.279,0.334,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,55315279585865.0,41657508084677.0,8053492716857.0,11052546653601.0,18541883113718.0,26548753749922.0,11243539115034.0,1.146,1.498,0.455,9486.0,7854.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,8596.0,7357.0,5422.0,2922.0,3402.0,3782.0,2893644.0,3575871.0,2.483,1.528,0.196,456.035,208307450.0,128434505.0,64431646.0,131132652.0,119753751.0,4298943128844980.0,3.64,0.574,0.103,0.09,0.055,0.001,0.001,1.276,3.305,1.494,0.034,3.033,1.352,1120.0,8.346,2.251,1.267,0.105,-0.069,576299641.0,1.3352827466677536e+17,3.286,1.366,3369.0,2583.0,1297.0,3565.0,3304.0,2706.0,1705.0,3706.0,3022.0,1317457.0,3.945,0.108,82.073,33.565,41.631,92.047,58.47,482.967,854.698,3.035,0.418,1.347,1.216,1.274,1.274,1.19,1.327,1.266,0.578,0.954,0.084,0.228,0.287,0.073,190055.0,179311.0,160005.0,155017.0,191427.0,183361.0,161122.0,66811.0,49894.0,1115915801.0,622354878.0,0.099,59935.0,58271.0,17934.0,56310715.0,0.111,16667.0,69446512.0,1.6,0.677,0.283,19.875,19.421,19.662,19.554,19.856,19.712,19.499,0.47,0.408,0.055,0.042,0.1,-0.051,37.941,74390.0,60965.0,66430.0,0.852,0.309,120.4,1.289,69.751
2013/04/09,2151102847.0,65111643775833.0,7673000.0,7298387.0,6997107.0,5944335.0,4279029.0,7621567.0,7371353.0,6954098.0,6171299.0,4776730.0,7190598.0,6549674.0,4986854.0,572670.0,2290219.0,1311275417545.0,1957321566010.0,1.891,1.308,0.344,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,56237950129593.0,42327366992383.0,8861372838837.0,10949074860693.0,18701125323864.0,27149681059982.0,14876381397420.0,1.229,1.506,0.467,10963.0,8419.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,9329.0,7797.0,5618.0,3775.0,4155.0,4185.0,4316562.0,4379283.0,2.722,1.606,0.215,532.828,217869610.0,137541562.0,67789645.0,145523932.0,131209654.0,5294303707697924.0,3.71,0.623,0.108,0.095,0.057,0.001,0.001,3.608,3.369,1.538,0.037,3.161,1.397,1337.0,8.357,2.245,1.26,0.129,-0.07,610910701.0,1.6397771221867283e+17,3.427,1.416,3610.0,2761.0,1359.0,4192.0,3673.0,2923.0,1801.0,4245.0,3247.0,1560757.0,4.021,0.145,91.009,35.483,44.961,106.857,73.811,1397.0,1362.0,3.222,0.459,1.341,1.209,1.275,1.263,1.188,1.295,1.263,0.586,0.953,0.086,0.227,0.245,0.07,190581.0,180579.0,160347.0,155546.0,188696.0,183337.0,161542.0,66511.0,49992.0,1105939032.0,624788508.0,0.122,61652.0,59408.0,17120.0,56620209.0,0.122,17992.0,80927400.0,1.669,0.721,0.289,19.83,19.424,19.665,19.558,19.839,19.718,19.506,0.465,0.413,0.054,0.043,0.095,-0.051,41.567,76227.0,61586.0,67553.0,0.904,0.317,150.978,1.338,73.549
2013/04/10,1965870661.0,70206503841325.0,7673000.0,7437983.0,7066905.0,6054505.0,4328179.0,7647284.0,7446765.0,7049951.0,6268182.0,4840384.0,7280717.0,6661200.0,5061446.0,544134.5,2294259.0,1315906542194.0,2071119322547.0,1.877,1.335,0.355,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,57433350995605.0,43098468655225.0,11374186667831.0,10017080685539.0,19206820698080.0,28005325368815.0,24507905677094.0,1.436,1.518,0.48,11927.0,8884.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,9847.0,8152.0,5788.0,3964.0,4531.0,4459.0,5132843.0,4971618.0,2.957,1.69,0.235,439.973,243641626.0,150582704.0,72404772.0,175702618.0,151433519.0,7717852482570384.0,3.852,0.679,0.115,0.101,0.06,0.001,0.001,8.273,3.457,1.585,0.04,3.289,1.445,1198.0,8.315,2.258,1.274,0.115,-0.072,640690041.0,1.87020097431988e+17,3.567,1.468,3900.0,3006.0,1445.0,5175.0,4267.0,3259.0,1940.0,5237.0,3593.0,2050656.0,4.419,0.188,110.751,39.108,51.427,139.942,121.47,7176.0,3689.0,3.576,0.514,1.308,1.213,1.246,1.268,1.191,1.295,1.264,0.527,0.756,0.069,0.143,0.224,0.069,188329.0,178990.0,160400.0,155830.0,183161.0,181719.0,161720.0,66465.0,50016.0,1104405178.0,625390165.0,0.141,62162.0,59979.0,17360.0,57499297.0,0.134,19967.0,99673358.0,1.805,0.775,0.295,19.798,19.429,19.672,19.562,19.828,19.728,19.513,0.464,0.418,0.054,0.044,0.09,-0.05,48.31,78891.0,62389.0,69133.0,0.968,0.325,133.379,1.389,72.494
2013/04/11,1267079990.0,65886778608137.0,7673000.0,7577580.0,7136703.0,6164676.0,4377328.0,7660142.0,7503324.0,7133024.0,6358816.0,4902639.0,7361530.0,6765619.0,5134959.0,515599.0,2277070.0,1296262457682.0,2180085742573.0,1.851,1.358,0.365,67068308741765.0,62986677705533.0,61109257991306.0,53954152826930.0,36140003890285.0,64137235862668.0,60884980460614.0,54504195308758.0,41029324032980.0,67197497880486.0,65178541237577.0,58282455579911.0,43763128342763.0,10458008745264.0,9663219377109.0,17638256207232.0,28545384259058.0,12405913411334.0,1.514,1.527,0.493,10916.0,8860.0,7116.0,4746.0,9502.0,9781.0,9027.0,7645.0,5463.0,9873.0,9608.0,8154.0,5840.0,4004.0,4480.0,4449.0,5018022.0,4949018.0,2.959,1.746,0.254,264.198,238783534.0,154934009.0,74349257.0,173151660.0,153047169.0,7495374304932720.0,3.937,0.734,0.116,0.103,0.062,0.001,0.001,2.075,3.505,1.629,0.04,3.37,1.49,722.163,8.26,2.1,1.103,0.118,-0.073,654456853.0,1.9212531661372112e+17,3.654,1.518,4004.0,3096.0,1486.0,4888.0,4235.0,3309.0,1985.0,5074.0,3659.0,2109843.0,4.531,0.231,114.694,40.236,52.826,140.524,121.175,7252.0,3671.0,3.842,0.568,1.325,1.201,1.247,1.287,1.2,1.329,1.271,0.543,0.757,0.074,0.143,0.258,0.075,187604.0,181935.0,160726.0,157163.0,190202.0,186719.0,162953.0,69307.0,51080.0,1200875592.0,652279796.0,0.166,63683.0,61081.0,17856.0,59494684.0,0.149,21154.0,111875259.0,1.929,0.831,0.303,19.827,19.438,19.705,19.576,19.873,19.764,19.53,0.501,0.448,0.063,0.05,0.089,-0.049,76.404,81053.0,63095.0,70500.0,1.035,0.335,70.892,1.438,75.989
2013/04/12,1018942331.0,63688279726654.0,7673000.0,7673000.0,7206501.0,6274847.0,4426478.0,7666571.0,7545743.0,7205021.0,6443602.0,4963526.0,7433036.0,6862931.0,5207391.0,487063.5,2238163.0,1252343164010.0,2284220826087.0,1.814,1.378,0.376,66593854058705.0,64682795559961.0,61439083798710.0,54950625608863.0,36637584644909.0,64024996828665.0,61258753696086.0,55096716884106.0,41527323059214.0,65507483372931.0,65353941742857.0,58910463766990.0,44368584954551.0,5179945926194.0,9677588973797.0,16296614049767.0,28885591087043.0,4617561303653.0,1.44,1.533,0.505,8586.0,8853.0,7160.0,4791.0,7931.0,8926.0,8671.0,7562.0,5483.0,7595.0,9275.0,8105.0,5876.0,4022.0,4423.0,4431.0,4890942.0,4908464.0,2.789,1.774,0.273,178.631,226081351.0,157552586.0,75753638.0,169664822.0,153054969.0,7196537946785288.0,3.95,0.786,0.117,0.103,0.063,0.002,0.001,-3.822,3.507,1.67,0.04,3.398,1.531,561.246,8.232,2.073,1.074,0.113,-0.074,662467523.0,1.934852002801282e+17,3.682,1.564,4059.0,3151.0,1514.0,4363.0,4042.0,3275.0,2003.0,4610.0,3639.0,2112289.0,4.336,0.272,117.118,41.177,53.832,138.378,120.014,7535.0,3601.0,4.017,0.621,1.319,1.199,1.248,1.287,1.202,1.325,1.272,0.542,0.757,0.074,0.143,0.275,0.079,183848.0,180932.0,160733.0,157309.0,184245.0,184298.0,163020.0,69261.0,51081.0,1199269405.0,652320582.0,0.185,62391.0,60740.0,17888.0,58683492.0,0.162,21584.0,116462670.0,1.979,0.881,0.31,19.87,19.446,19.733,19.589,19.906,19.795,19.545,0.525,0.471,0.069,0.055,0.091,-0.048,70.732,82384.0,63675.0,71377.0,1.094,0.344,49.659,1.484,81.5
2013/04/13,1085384852.0,62912871328188.0,7673000.0,7673000.0,7276299.0,6375101.0,4475627.0,7669785.0,7577557.0,7267418.0,6522918.0,5023075.0,7495236.0,6953134.0,5278743.0,458528.0,2210075.0,1221108094430.0,2383524573089.0,1.767,1.394,0.387,64162643220993.0,64837746499643.0,61782278732706.0,55725770086524.0,37109457916385.0,63746965453545.0,61479302713700.0,55600984912757.0,41997335109082.0,63666992007672.0,64911460684914.0,59424157039204.0,44946063782755.0,4885643766853.0,9520248625628.0,15506433654622.0,29197883149984.0,4804729075937.0,1.274,1.533,0.518,6682.0,8852.0,7215.0,4839.0,7263.0,8343.0,8395.0,7500.0,5507.0,6600.0,8974.0,8069.0,5915.0,4024.0,4352.0,4415.0,4734797.0,4872858.0,2.527,1.78,0.291,187.901,217704574.0,159402573.0,76726062.0,165815897.0,152519887.0,6873727930892684.0,3.895,0.834,0.115,0.103,0.063,0.00175,0.001,-8.017,3.464,1.706,0.04,3.387,1.568,607.072,8.251,2.076,1.078,0.11,-0.075,671762409.0,1.954264710232443e+17,3.667,1.606,4038.0,3201.0,1538.0,3871.0,3822.0,3218.0,2012.0,4103.0,3591.0,2102569.0,3.934,0.312,118.852,41.856,54.205,132.202,118.485,7897.0,3510.0,4.094,0.671,1.283,1.192,1.246,1.266,1.196,1.277,1.266,0.566,0.76,0.08,0.144,0.215,0.075,181937.0,177893.0,160542.0,157042.0,174580.0,179532.0,162678.0,69434.0,51184.0,1205285576.0,654939242.0,0.197,60131.0,59754.0,17878.0,58358928.0,0.17,21686.0,117569650.0,1.924,0.917,0.317,19.914,19.456,19.759,19.601,19.937,19.825,19.561,0.546,0.491,0.075,0.06,0.094,-0.047,70.831,83108.0,63979.0,71798.0,1.135,0.353,55.132,1.526,84.999
