Date,bitcoin-marketcap_raw,bitcoin-fee_to_reward_raw,bitcoin-difficulty_raw,top100cap-btc_raw,difficulty-btc--sma3,difficulty-btc--sma7,difficulty-btc--sma14,difficulty-btc--sma30,difficulty-btc--sma90,difficulty-btc--ema3,difficulty-btc--ema7,difficulty-btc--ema14,difficulty-btc--ema30,difficulty-btc--ema90,difficulty-btc--wma7,difficulty-btc--wma14,difficulty-btc--wma30,difficulty-btc--wma90,difficulty-btc--var90,difficulty-btc--rsi90,hashrate-btc--sma14,hashrate-btc--sma30,hashrate-btc--sma90,hashrate-btc--ema14,hashrate-btc--ema30,hashrate-btc--ema90,hashrate-btc--wma14,hashrate-btc--wma30,hashrate-btc--wma90,hashrate-btc--std90,hashrate-btc--trx90,mining_profitability-btc--sma7,mining_profitability-btc--sma14,mining_profitability-btc--sma90,mining_profitability-btc--ema30,mining_profitability-btc--wma30,mining_profitability-btc--std90,sentinusd-btc--sma14,sentinusd-btc--sma90,sentinusd-btc--trx14,sentinusd-btc--trx30,transactionfees-btc--sma14,transactionfees-btc--sma30,transactionfees-btc--sma90,transactionfees-btc--ema30,transactionfees-btc--ema90,transactionfees-btc--wma30,transactionfees-btc--wma90,transactionfees-btc--std14,transactionfees-btc--std90,transactionfees-btc--trx14,transactionfees-btc--trx30,transactionfees-btc--trx90,median_transaction_fee-btc--sma3,median_transaction_fee-btc--sma14,median_transaction_fee-btc--sma30,median_transaction_fee-btc--sma90,median_transaction_fee-btc--ema30,median_transaction_fee-btc--wma14,median_transaction_fee-btc--wma30,median_transaction_fee-btc--std30,median_transaction_fee-btc--std90,median_transaction_fee-btc--var14,median_transaction_fee-btc--var30,median_transaction_fee-btc--var90,median_transaction_fee-btc--trx14,median_transaction_fee-btc--trx90,confirmationtime-btc--trx90,marketcap-btc--sma90,marketcap-btc--ema14,marketcap-btc--ema30,marketcap-btc--ema90,marketcap-btc--wma90,marketcap-btc--std90,marketcap-btc--trx90,transactionvalue-btc--sma30,transactionvalue-btc--sma90,transactionvalue-btc--ema30,transactionvalue-btc--ema90,transactionvalue-btc--wma30,transactionvalue-btc--wma90,transactionvalue-btc--std90,transactionvalue-btc--var90,transactionvalue-btc--trx30,transactionvalue-btc--trx90,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--std90,mediantransactionvalue-btc--trx14,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--sma3,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema3,fee_to_reward-btc--ema7,fee_to_reward-btc--ema90,fee_to_reward-btc--wma30,fee_to_reward-btc--std30,fee_to_reward-btc--std90,fee_to_reward-btc--var30,fee_to_reward-btc--var90,fee_to_reward-btc--trx14,fee_to_reward-btc--trx90,size-btc--sma30,size-btc--sma90,size-btc--wma30,size-btc--wma90,size-btc--std90,size-btc--var30,size-btc--var90,size-btc--trx14,size-btc--trx30,size-btc--trx90,transactions-btc--sma90,transactions-btc--ema90,transactions-btc--wma90,transactions-btc--trx30,transactions-btc--trx90,sentbyaddress-btc--sma7,sentbyaddress-btc--sma30,sentbyaddress-btc--sma90,sentbyaddress-btc--ema30,sentbyaddress-btc--ema90,sentbyaddress-btc--wma30,sentbyaddress-btc--wma90,sentbyaddress-btc--trx30,top100cap-btc--sma30,top100cap-btc--sma90,top100cap-btc--ema14,top100cap-btc--ema30,top100cap-btc--ema90,top100cap-btc--wma14,top100cap-btc--wma30,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--mom90,top100cap-btc--var90,top100cap-btc--trx30,top100cap-btc--roc90,activeaddresses-btc--sma90,activeaddresses-btc--std30,activeaddresses-btc--std90,activeaddresses-btc--var14,activeaddresses-btc--var30,activeaddresses-btc--var90,activeaddresses-btc--trx30,price-btc--sma30,price-btc--sma90,price-btc--ema90,price-btc--wma30,price-btc--wma90,price-btc--std90,price-btc--trx90,bitcoin-price_raw_90d
2013/04/01,1039517192.0,0.867,6695826.0,19.962,6695826.0,6695826.0,5956136.0,5182950.0,3906368.0,6690038.0,6526779.0,6096133.0,5385392.0,4296620.0,6695826.0,6368099.0,5652157.0,4430808.0,1168545930405.0,91.841,53495262808157.0,44956251399826.0,31776180357082.0,53347760970783.0,46935502677847.0,35799562131248.0,55439878831239.0,49808994690260.0,37564285480092.0,22738053510663.0,0.372,6562.0,6279.0,3913.0,5603.0,5894.0,2778.0,114652550.0,50015639.0,3.636,3.029,0.072,0.056,0.031,0.06,0.038,0.065,0.042,0.031,0.045,3.644,2.712,1.218,0.045,0.037,0.03,0.017,0.032,0.04,0.034,0.019,0.023,0.001,0.001,0.001,2.987,1.11,-0.057,352418998.0,824742386.0,669282203.0,428855865.0,468618640.0,455860515.0,1.097,1883.0,1039.0,2019.0,1335.0,2254.0,1380.0,1697.0,719749.0,3.059,-0.116,41.397,26.683,28.818,3.449,2.119,0.207,1.136,1.154,1.279,1.237,1.06,1.172,1.157,1.188,1.147,0.956,0.329,0.229,-0.381,0.742,154996.0,154528.0,151140.0,156022.0,50776.0,938951276.0,644540075.0,-0.044,-0.019,0.334,52541.0,51153.0,54403.0,0.092,0.394,50442.0,43467.0,39879.0,44836.0,39824.0,45856.0,41505.0,0.406,19.499,19.396,19.671,19.545,19.501,19.706,19.568,19.428,0.367,0.322,0.426,0.026,0.011,2.183,57136.0,20592.0,18183.0,64982806.0,106005219.0,82659141.0,0.538,56.481,32.485,39.444,66.298,43.032,41.348,1.025,89.829
2013/04/02,1183101461.0,1.338,6695826.0,20.024,6695826.0,6695826.0,6088148.0,5260549.0,3947659.0,6692932.0,6569041.0,6176092.0,5469936.0,4349349.0,6695826.0,6466725.0,5749761.0,4492115.0,1243754847226.0,91.841,54665535479792.0,45919538052526.0,32209968678589.0,54480805761613.0,47897444240696.0,36372002455880.0,56553256710420.0,50898629883949.0,38225151777783.0,23513282442924.0,0.384,6924.0,6503.0,3977.0,5757.0,6058.0,2884.0,126344266.0,52609580.0,3.89,3.121,0.075,0.059,0.032,0.063,0.04,0.068,0.043,0.034,0.047,3.733,2.777,1.251,0.049,0.039,0.032,0.017,0.033,0.042,0.036,0.02,0.024,0.001,0.001,0.001,3.127,1.139,-0.059,364007125.0,872523596.0,702431833.0,445432691.0,486875397.0,485734098.0,1.129,2012.0,1081.0,2172.0,1403.0,2417.0,1454.0,1835.0,841849.0,3.125,-0.089,44.077,27.577,32.06,3.531,2.21,0.23,1.094,1.163,1.286,1.243,1.199,1.214,1.161,1.192,1.145,0.953,0.328,0.227,-0.33,0.733,155608.0,155210.0,152459.0,156482.0,50230.0,952368214.0,630754328.0,0.042,-0.015,0.331,52806.0,51415.0,54635.0,0.086,0.392,52389.0,44503.0,40218.0,45961.0,40318.0,47069.0,41997.0,0.432,19.522,19.401,19.718,19.576,19.513,19.764,19.602,19.442,0.408,0.345,0.427,0.03,0.014,2.179,57678.0,21588.0,19348.0,86865914.0,116511566.0,93587018.0,0.569,58.991,33.536,40.945,69.605,44.686,44.05,1.057,85.608
2013/04/03,1318189886.0,1.596,6695826.0,19.987,6695826.0,6695826.0,6220161.0,5338147.0,3988950.0,6694379.0,6600737.0,6245390.0,5549026.0,4400920.0,6695826.0,6547748.0,5842360.0,4552514.0,1315553871298.0,91.841,55777688549531.0,46674364484225.0,32616029589136.0,55252747333251.0,48695697357354.0,36897241249133.0,57300567652967.0,51824489851457.0,38841863840867.0,24166298674113.0,0.396,7363.0,6645.0,4050.0,5957.0,6269.0,3037.0,137048586.0,55179282.0,4.28,3.248,0.081,0.062,0.034,0.067,0.042,0.073,0.046,0.041,0.052,3.956,2.871,1.288,0.054,0.041,0.033,0.018,0.035,0.045,0.037,0.023,0.025,0.001,0.001,0.001,3.319,1.17,-0.061,377094375.0,931945768.0,742158159.0,464614168.0,507846447.0,522966667.0,1.163,2144.0,1125.0,2321.0,1470.0,2576.0,1528.0,1965.0,964945.0,3.214,-0.059,46.873,28.497,35.657,3.763,2.327,0.256,1.267,1.227,1.299,1.25,1.398,1.31,1.17,1.212,1.151,0.953,0.331,0.227,-0.212,0.725,156259.0,156056.0,154304.0,157119.0,49584.0,976467593.0,614641815.0,0.146,-0.006,0.329,53046.0,51687.0,54876.0,0.084,0.391,55028.0,45581.0,40562.0,47459.0,40952.0,48661.0,42633.0,0.468,19.542,19.405,19.754,19.602,19.523,19.81,19.632,19.454,0.437,0.364,0.366,0.033,0.017,1.864,58298.0,25575.0,21903.0,143182571.0,163523465.0,119931071.0,0.611,61.879,34.722,42.682,73.541,46.586,47.421,1.09,83.204
2013/04/04,1357824968.0,1.948,6695826.0,19.99,6695826.0,6695826.0,6352174.0,5415745.0,4030241.0,6695103.0,6624509.0,6305448.0,5623013.0,4451358.0,6695826.0,6611170.0,5929952.0,4612006.0,1383943002621.0,91.841,55963936181944.0,47372797279589.0,32978965966943.0,55255375040829.0,49120004311079.0,37301092103880.0,57233203198374.0,52379205377642.0,39339807259569.0,24532541967280.0,0.407,7555.0,6794.0,4122.0,6139.0,6465.0,3171.0,144813868.0,57367531.0,4.617,3.379,0.087,0.066,0.035,0.072,0.044,0.078,0.048,0.05,0.056,4.254,2.985,1.328,0.059,0.043,0.034,0.019,0.036,0.048,0.039,0.024,0.027,0.001,0.001,0.001,3.525,1.203,-0.063,390620653.0,988729661.0,781878598.0,484245175.0,529400965.0,559483423.0,1.2,2244.0,1165.0,2446.0,1531.0,2712.0,1597.0,2068.0,1069102.0,3.307,-0.027,50.029,29.741,40.642,4.166,2.481,0.285,1.627,1.3,1.315,1.261,1.673,1.469,1.187,1.254,1.173,0.963,0.344,0.232,0.014,0.717,157161.0,156943.0,158518.0,158559.0,51353.0,1069093010.0,659287348.0,0.315,0.013,0.327,53249.0,52017.0,55177.0,0.089,0.389,57239.0,46630.0,40971.0,49026.0,41629.0,50349.0,43319.0,0.514,19.564,19.41,19.786,19.627,19.534,19.852,19.661,19.467,0.459,0.383,0.45,0.037,0.02,2.302,58982.0,29141.0,24213.0,200432683.0,212292466.0,146568407.0,0.663,64.777,35.948,44.46,77.521,48.539,50.724,1.126,81.424
2013/04/05,1414392012.0,1.432,7005058.0,19.833,6798904.0,6740002.0,6506275.0,5503651.0,4074968.0,6850081.0,6719647.0,6398730.0,5712177.0,4507483.0,6773134.0,6698222.0,6032489.0,4677386.0,1468006625051.0,92.508,55757270220747.0,47974562797815.0,33303685514234.0,54796719001473.0,49293904339116.0,37620089085017.0,56680072340202.0,52665828439969.0,39753796023936.0,24746657364734.0,0.419,8052.0,7008.0,4210.0,6385.0,6726.0,3368.0,154976440.0,59595584.0,4.872,3.507,0.091,0.067,0.036,0.075,0.045,0.081,0.05,0.052,0.059,4.452,3.093,1.37,0.062,0.045,0.035,0.019,0.038,0.051,0.041,0.026,0.028,0.001,0.001,0.001,3.728,1.237,-0.065,404780326.0,1045484641.0,822685915.0,504687962.0,551901435.0,596666721.0,1.238,2341.0,1205.0,2568.0,1593.0,2847.0,1667.0,2170.0,1177635.0,3.4,0.006,53.308,30.977,45.16,4.619,2.658,0.317,1.659,1.319,1.232,1.267,1.552,1.46,1.193,1.261,0.672,0.96,0.113,0.23,0.199,0.71,157013.0,157741.0,160641.0,159287.0,51155.0,1058645352.0,654198460.0,0.466,0.034,0.326,53491.0,52220.0,55352.0,0.095,0.388,58933.0,47386.0,41318.0,50335.0,42237.0,51813.0,43942.0,0.564,19.578,19.413,19.792,19.64,19.54,19.866,19.678,19.477,0.464,0.392,0.29,0.038,0.023,1.485,59500.0,31093.0,25666.0,222392877.0,241699636.0,164680970.0,0.716,67.766,37.231,46.311,81.643,50.576,54.087,1.164,78.461
2013/04/06,1474827634.0,0.947,7673000.0,19.833,7124628.0,6879599.0,6708086.0,5613822.0,4127116.0,7261540.0,6957985.0,6568632.0,5838682.0,4577055.0,7006384.0,6853785.0,6172446.0,4756464.0,1595799220682.0,93.644,56432105022907.0,48957293289103.0,33759925800740.0,55734251767998.0,50102569526942.0,38152135802938.0,57489531610825.0,53559612436911.0,40380708754402.0,25312859842570.0,0.431,8384.0,7170.0,4283.0,6548.0,6909.0,3486.0,160747888.0,61196359.0,4.858,3.588,0.093,0.069,0.037,0.077,0.047,0.084,0.051,0.05,0.06,4.475,3.173,1.411,0.064,0.048,0.037,0.02,0.04,0.054,0.043,0.028,0.03,0.001,0.001,0.001,3.916,1.274,-0.066,419616955.0,1102730374.0,864759574.0,526009713.0,575418958.0,634738238.0,1.278,2423.0,1239.0,2626.0,1634.0,2919.0,1716.0,2215.0,1226309.0,3.465,0.04,55.459,31.783,46.74,4.84,2.811,0.35,1.442,1.318,1.213,1.267,1.25,1.332,1.187,1.243,0.671,0.96,0.113,0.23,0.254,0.702,155571.0,158385.0,160741.0,159305.0,49700.0,989697975.0,617523242.0,0.549,0.052,0.324,53699.0,52205.0,55309.0,0.098,0.386,58981.0,47634.0,41563.0,50446.0,42453.0,52114.0,44178.0,0.607,19.593,19.416,19.797,19.653,19.547,19.876,19.695,19.486,0.467,0.4,0.23,0.04,0.026,1.171,59954.0,31352.0,25872.0,204447338.0,245738742.0,167334419.0,0.762,70.904,38.576,48.24,85.923,52.706,57.528,1.203,73.017
2013/04/07,1563013110.0,1.302,7673000.0,19.767,7450353.0,7019195.0,6857511.0,5723993.0,4179265.0,7467270.0,7136739.0,6715881.0,5957025.0,4645098.0,7204734.0,6982440.0,6305297.0,4834395.0,1718152888140.0,93.644,56606848019815.0,49888014119461.0,34203852889091.0,56664353485313.0,50915953083130.0,38691869403926.0,58326586227485.0,54446884782637.0,41016974443350.0,25919505474601.0,0.443,8732.0,7477.0,4360.0,6733.0,7115.0,3626.0,165829787.0,62405013.0,4.603,3.616,0.098,0.072,0.038,0.08,0.048,0.087,0.053,0.046,0.062,4.457,3.244,1.452,0.067,0.051,0.039,0.021,0.042,0.057,0.046,0.03,0.032,0.001,0.001,0.001,4.092,1.312,-0.068,435428226.0,1164101405.0,909808190.0,548800997.0,600548544.0,675664378.0,1.321,2475.0,1261.0,2614.0,1652.0,2921.0,1743.0,2223.0,1235699.0,3.48,0.073,56.682,32.319,47.111,4.753,2.913,0.383,1.227,1.349,1.217,1.272,1.276,1.324,1.19,1.249,0.672,0.956,0.113,0.229,0.289,0.695,157037.0,159496.0,163956.0,160339.0,49383.0,1069205906.0,609668881.0,0.653,0.074,0.323,53957.0,52451.0,55522.0,0.104,0.384,60695.0,48027.0,41727.0,50513.0,42652.0,52363.0,44396.0,0.64,19.602,19.418,19.793,19.66,19.551,19.873,19.706,19.494,0.47,0.404,0.141,0.041,0.028,0.72,60321.0,31346.0,26457.0,188964667.0,245649879.0,174998891.0,0.803,74.263,40.008,50.303,90.515,54.981,61.227,1.245,66.0
2013/04/08,1799989332.0,1.183,7673000.0,19.689,7673000.0,7158791.0,6927309.0,5834164.0,4229880.0,7570135.0,7270804.0,6843497.0,6067733.0,4711645.0,7368185.0,7091172.0,6431039.0,4911181.0,1838692472962.0,93.644,57409957956603.0,50810250348052.0,34633063475243.0,57555524163205.0,51718029243541.0,39233765319653.0,59225424300777.0,55315279585865.0,41657508084677.0,26548753749922.0,0.455,9147.0,7854.0,4453.0,6952.0,7357.0,3782.0,174011066.0,64431646.0,4.405,3.64,0.103,0.074,0.04,0.082,0.05,0.09,0.055,0.043,0.064,4.404,3.305,1.494,0.073,0.054,0.041,0.022,0.045,0.061,0.048,0.033,0.034,0.001,0.001,0.001,4.304,1.352,-0.069,453843044.0,1248886462.0,967239231.0,576299641.0,630538898.0,730830417.0,1.366,2583.0,1297.0,2706.0,1705.0,3022.0,1804.0,2296.0,1317457.0,3.493,0.108,60.183,33.565,51.324,4.813,3.035,0.418,1.144,1.347,1.216,1.274,1.229,1.289,1.19,1.247,0.672,0.954,0.113,0.228,0.287,0.687,158313.0,160005.0,166413.0,161122.0,49894.0,1115915801.0,622354878.0,0.748,0.099,0.322,54213.0,52650.0,55688.0,0.111,0.383,63264.0,49088.0,42067.0,51564.0,43182.0,53573.0,44947.0,0.677,19.608,19.421,19.779,19.662,19.554,19.856,19.712,19.499,0.47,0.408,0.294,0.042,0.03,1.514,60965.0,33938.0,28724.0,213677509.0,287943484.0,206269076.0,0.852,78.277,41.677,52.792,96.276,57.696,66.216,1.289,69.751
2013/04/09,2151102847.0,1.11,7673000.0,19.714,7673000.0,7298387.0,6997107.0,5944335.0,4279029.0,7621567.0,7371353.0,6954098.0,6171299.0,4776730.0,7496738.0,7190598.0,6549674.0,4986854.0,1957321566010.0,93.644,58472556627847.0,51677790418136.0,35121378181982.0,58563006778222.0,52582133406915.0,39802509901107.0,60252315743341.0,56237950129593.0,42327366992383.0,27149681059982.0,0.467,9913.0,8419.0,4578.0,7365.0,7797.0,4185.0,189189906.0,67789645.0,4.481,3.71,0.108,0.078,0.041,0.086,0.052,0.095,0.057,0.042,0.068,4.392,3.369,1.538,0.084,0.058,0.042,0.023,0.048,0.067,0.052,0.039,0.037,0.001,0.001,0.001,4.608,1.397,-0.07,476135446.0,1369181980.0,1043617529.0,610910701.0,667841311.0,809883232.0,1.416,2761.0,1359.0,2923.0,1801.0,3247.0,1909.0,2499.0,1560757.0,3.546,0.145,65.897,35.483,61.185,5.217,3.222,0.459,1.199,1.341,1.209,1.275,1.17,1.244,1.188,1.24,0.672,0.953,0.113,0.227,0.245,0.679,158105.0,160347.0,167756.0,161542.0,49992.0,1105939032.0,624788508.0,0.805,0.122,0.321,54477.0,52961.0,55965.0,0.122,0.382,65031.0,50258.0,42470.0,53052.0,43874.0,55222.0,45662.0,0.721,19.618,19.424,19.771,19.665,19.558,19.839,19.718,19.506,0.465,0.413,0.329,0.043,0.032,1.699,61586.0,35879.0,30637.0,230615669.0,321822032.0,234652099.0,0.904,83.309,43.696,55.926,103.832,61.074,73.372,1.338,73.549
2013/04/10,1965870661.0,1.34,7673000.0,19.762,7673000.0,7437983.0,7066905.0,6054505.0,4328179.0,7647284.0,7446765.0,7049951.0,6268182.0,4840384.0,7590391.0,7280717.0,6661200.0,5061446.0,2071119322547.0,93.644,60223121319068.0,52725657551404.0,35644762825181.0,60115473053303.0,53719189563974.0,40470729548145.0,61816842038471.0,57433350995605.0,43098468655225.0,28005325368815.0,0.48,10406.0,8884.0,4689.0,7683.0,8152.0,4459.0,205876465.0,72404772.0,4.903,3.852,0.115,0.083,0.043,0.093,0.055,0.101,0.06,0.055,0.074,4.515,3.457,1.585,0.09,0.062,0.044,0.023,0.051,0.071,0.055,0.042,0.04,0.001,0.001,0.001,4.852,1.445,-0.072,496351594.0,1448740471.0,1103117731.0,640690041.0,700582744.0,864916406.0,1.468,3006.0,1445.0,3259.0,1940.0,3593.0,2058.0,2864.0,2050656.0,3.666,0.188,76.337,39.108,88.13,6.392,3.576,0.514,1.211,1.308,1.213,1.246,1.255,1.268,1.191,1.248,0.673,0.756,0.113,0.143,0.224,0.672,158038.0,160400.0,168423.0,161720.0,50016.0,1104405178.0,625390165.0,0.817,0.141,0.32,54602.0,53197.0,56167.0,0.134,0.381,67117.0,51863.0,42930.0,55035.0,44751.0,57384.0,46570.0,0.775,19.628,19.429,19.77,19.672,19.562,19.828,19.728,19.513,0.464,0.418,0.413,0.044,0.033,2.133,62389.0,40334.0,34140.0,317615334.0,406710904.0,291393310.0,0.968,87.755,45.527,58.62,109.974,64.037,78.344,1.389,72.494
2013/04/11,1267079990.0,1.563,7673000.0,20.19,7673000.0,7577580.0,7136703.0,6164676.0,4377328.0,7660142.0,7503324.0,7133024.0,6358816.0,4902639.0,7649145.0,7361530.0,6765619.0,5134959.0,2180085742573.0,93.644,61109257991306.0,53954152826930.0,36140003890285.0,60884980460614.0,54504195308758.0,41029324032980.0,62571996343681.0,58282455579911.0,43763128342763.0,28545384259058.0,0.493,10166.0,8860.0,4746.0,7645.0,8154.0,4449.0,209501632.0,74349257.0,4.97,3.937,0.116,0.084,0.044,0.093,0.056,0.103,0.062,0.053,0.075,4.425,3.505,1.629,0.081,0.063,0.045,0.024,0.051,0.07,0.056,0.042,0.04,0.001,0.001,0.001,4.812,1.49,-0.073,508774849.0,1424519073.0,1113695941.0,654456853.0,717521830.0,876642040.0,1.518,3096.0,1486.0,3309.0,1985.0,3659.0,2115.0,2905.0,2109843.0,3.742,0.231,79.051,40.236,89.385,6.844,3.842,0.568,1.338,1.325,1.201,1.247,1.409,1.342,1.2,1.271,0.631,0.757,0.1,0.143,0.258,0.664,159257.0,160726.0,172195.0,162953.0,51080.0,1200875592.0,652279796.0,0.868,0.166,0.319,54776.0,53528.0,56467.0,0.149,0.38,67769.0,53099.0,43273.0,56408.0,45444.0,58962.0,47304.0,0.831,19.653,19.438,19.826,19.705,19.576,19.873,19.764,19.53,0.501,0.448,0.808,0.05,0.035,4.169,63095.0,42871.0,36545.0,374556908.0,459489713.0,333892691.0,1.035,90.118,46.649,59.859,111.731,65.564,79.392,1.438,75.989
2013/04/12,1018942331.0,1.291,7673000.0,20.136,7673000.0,7673000.0,7206501.0,6274847.0,4426478.0,7666571.0,7545743.0,7205021.0,6443602.0,4963526.0,7673000.0,7433036.0,6862931.0,5207391.0,2284220826087.0,93.644,61439083798710.0,54950625608863.0,36637584644909.0,61258753696086.0,55096716884106.0,41527323059214.0,62915865908394.0,58910463766990.0,44368584954551.0,28885591087043.0,0.505,9653.0,8853.0,4791.0,7562.0,8105.0,4431.0,211164080.0,75753638.0,4.712,3.95,0.117,0.086,0.045,0.093,0.057,0.103,0.063,0.053,0.075,4.149,3.507,1.67,0.064,0.063,0.046,0.024,0.051,0.068,0.056,0.041,0.04,0.001,0.001,0.001,4.527,1.531,-0.074,518441394.0,1370442174.0,1107582805.0,662467523.0,728734302.0,879739053.0,1.564,3151.0,1514.0,3275.0,2003.0,3639.0,2143.0,2907.0,2112289.0,3.755,0.272,81.312,41.177,90.037,6.756,4.017,0.621,1.398,1.319,1.199,1.248,1.35,1.329,1.202,1.277,0.63,0.757,0.099,0.143,0.275,0.657,159133.0,160733.0,172486.0,163020.0,51081.0,1199269405.0,652320582.0,0.862,0.185,0.318,54920.0,53637.0,56549.0,0.162,0.379,67220.0,53802.0,43613.0,56992.0,45885.0,59760.0,47792.0,0.881,19.675,19.446,19.867,19.733,19.589,19.906,19.795,19.545,0.525,0.471,0.76,0.055,0.037,3.92,63675.0,43031.0,37391.0,360557325.0,462908550.0,349519493.0,1.094,91.774,47.521,60.575,111.881,66.571,79.661,1.484,81.5
2013/04/13,1085384852.0,0.958,7673000.0,20.138,7673000.0,7673000.0,7276299.0,6375101.0,4475627.0,7669785.0,7577557.0,7267418.0,6522918.0,5023075.0,7673000.0,7495236.0,6953134.0,5278743.0,2383524573089.0,93.644,61782278732706.0,55725770086524.0,37109457916385.0,61479302713700.0,55600984912757.0,41997335109082.0,63112370912324.0,59424157039204.0,44946063782755.0,29197883149984.0,0.518,9320.0,8852.0,4839.0,7500.0,8069.0,4415.0,207417876.0,76726062.0,4.208,3.895,0.115,0.087,0.045,0.092,0.057,0.103,0.063,0.056,0.075,3.728,3.464,1.706,0.051,0.064,0.047,0.025,0.051,0.066,0.056,0.04,0.04,0.001,0.001,0.001,4.132,1.568,-0.075,528852702.0,1332434531.0,1106150679.0,671762409.0,741194598.0,884141326.0,1.606,3201.0,1538.0,3218.0,2012.0,3591.0,2163.0,2900.0,2102569.0,3.712,0.312,82.721,41.856,89.999,6.26,4.094,0.671,1.271,1.283,1.192,1.246,1.154,1.237,1.196,1.261,0.636,0.76,0.101,0.144,0.215,0.649,158774.0,160542.0,171586.0,162678.0,51184.0,1205285576.0,654939242.0,0.79,0.197,0.317,54965.0,53631.0,56515.0,0.17,0.378,67616.0,54245.0,43791.0,56853.0,46081.0,59826.0,48039.0,0.917,19.696,19.456,19.903,19.759,19.601,19.937,19.825,19.561,0.546,0.491,0.854,0.06,0.04,4.43,63979.0,42300.0,37564.0,347881893.0,447312540.0,352764896.0,1.135,93.612,48.46,61.407,112.311,67.69,80.046,1.526,84.999
2013/04/14,1013148373.0,1.38,7673000.0,20.149,7673000.0,7673000.0,7346097.0,6469279.0,4524777.0,7671393.0,7601418.0,7321496.0,6597117.0,5081315.0,7673000.0,7548129.0,7036869.0,5349015.0,2477996983579.0,93.644,62288221277125.0,56365301454215.0,37534784253576.0,61500285173658.0,55990384025701.0,42428968868517.0,63092956569749.0,59805505495776.0,45485123414557.0,29497871637179.0,0.53,8801.0,8767.0,4877.0,7389.0,7976.0,4388.0,202396454.0,77237603.0,3.527,3.775,0.115,0.089,0.046,0.092,0.058,0.103,0.064,0.056,0.075,3.287,3.396,1.738,0.047,0.064,0.048,0.025,0.05,0.064,0.056,0.039,0.041,0.001,0.001,0.001,3.671,1.602,-0.076,538453760.0,1289863044.0,1100150530.0,679265397.0,751838459.0,886199895.0,1.644,3124.0,1549.0,3101.0,1998.0,3474.0,2159.0,2889.0,2087001.0,3.608,0.349,83.466,42.28,89.76,5.496,4.079,0.717,1.21,1.304,1.189,1.251,1.267,1.272,1.2,1.273,0.63,0.756,0.099,0.143,0.189,0.642,158860.0,161076.0,172644.0,163000.0,50778.0,1207887412.0,644611706.0,0.722,0.207,0.316,55086.0,53668.0,56523.0,0.175,0.376,66678.0,54223.0,43937.0,56083.0,46056.0,59225.0,48063.0,0.936,19.721,19.466,19.936,19.784,19.613,19.968,19.854,19.576,0.559,0.51,0.912,0.065,0.042,4.743,64280.0,41904.0,37362.0,315701737.0,438995192.0,348988094.0,1.156,95.22,49.325,62.076,112.197,68.643,80.219,1.564,88.095
2013/04/15,961179992.0,1.785,7673000.0,20.385,7673000.0,7673000.0,7415895.0,6563458.0,4573926.0,7672196.0,7619313.0,7368363.0,6666529.0,5138275.0,7673000.0,7591716.0,7114529.0,5418207.0,2567638057558.0,93.644,62037669432380.0,57066213968040.0,37976966029229.0,61566165324552.0,56377739011486.0,42858978042953.0,63053778573514.0,60168672260366.0,46022697086025.0,29756984964706.0,0.542,8193.0,8670.0,4921.0,7291.0,7886.0,4348.0,198758577.0,77785369.0,2.811,3.615,0.118,0.091,0.047,0.094,0.059,0.105,0.066,0.053,0.076,2.943,3.328,1.769,0.046,0.064,0.048,0.026,0.05,0.061,0.056,0.038,0.041,0.001,0.001,0.001,3.181,1.633,-0.077,547478560.0,1246038637.0,1091184689.0,685461322.0,761129145.0,886692561.0,1.679,3080.0,1560.0,3008.0,1991.0,3380.0,2162.0,2883.0,2078022.0,3.467,0.383,84.327,42.878,89.754,4.704,4.011,0.761,1.374,1.37,1.224,1.259,1.526,1.4,1.213,1.312,0.64,0.764,0.102,0.146,0.261,0.635,160892.0,161116.0,172839.0,163018.0,50775.0,1092275268.0,644531554.0,0.639,0.214,0.315,55191.0,53683.0,56506.0,0.177,0.375,65564.0,55075.0,44122.0,56271.0,46340.0,59533.0,48394.0,0.948,19.754,19.479,19.996,19.823,19.63,20.027,19.897,19.596,0.594,0.542,1.166,0.074,0.045,6.064,64753.0,40530.0,38087.0,271884049.0,410678895.0,362646540.0,1.174,96.652,50.138,62.627,111.674,69.473,80.252,1.598,88.156
