Date,bitcoin-median_transaction_fee_raw,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-30,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-mom-3,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-roc-30,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-90,hashrate-btc-ema-7,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-trx-14,hashrate-btc-trx-30,hashrate-btc-trx-90,hashrate-btc-rsi-30,hashrate-btc-rsi-90,hashrate-btc-roc-90,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-std-14,mining_profitability-btc-std-30,mining_profitability-btc-std-90,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,sentinusd-btc-std-30,sentinusd-btc-var-30,sentinusd-btc-trx-30,sentinusd-btc-trx-90,transactionfees-btc-sma-14,transactionfees-btc-sma-90,transactionfees-btc-wma-30,transactionfees-btc-std-30,transactionfees-btc-var-3,transactionfees-btc-var-7,transactionfees-btc-var-14,transactionfees-btc-var-30,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-ema-7,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-wma-14,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-14,median_transaction_fee-btc-rsi-90,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-30,confirmationtime-btc-var-30,confirmationtime-btc-trx-7,confirmationtime-btc-trx-30,confirmationtime-btc-trx-90,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-wma-90,marketcap-btc-std-30,marketcap-btc-mom-30,marketcap-btc-mom-90,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-90,marketcap-btc-roc-30,transactionvalue-btc-sma-90,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-90,transactionvalue-btc-trx-14,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-std-30,mediantransactionvalue-btc-var-7,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-trx-7,mediantransactionvalue-btc-trx-14,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-trx-14,transactions-btc-trx-30,sentbyaddress-btc-sma-14,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-14,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-mom-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90,activeaddresses-btc-trx-14,activeaddresses-btc-trx-30,price-btc-sma-90,price-btc-wma-90,price-btc-std-30,price-btc-mom-30,price-btc-mom-90,price-btc-var-30,price-btc-trx-14,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-90,bitcoin-price_raw_90d
2013-04-01,0.0474,5956136,5182950,3906368,6690038,5385392,6695826,6368099,4430808,2161986,309232.0,1.93,1.046,0.271,53.297,59387909975187.0,55235596298287.0,53495262808157.0,31776180357082.0,57115545498179.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,11490406893431.0,19252887180085.0,22738053510663.0,3.3007362644153e+25,2.0,1.373,0.372,63.35,59.085,169.207,6562.0,6279.0,3913.0,6990.0,6242.0,5603.0,4403.0,7035.0,6442.0,5894.0,1716.0,2048.0,2778.0,1048771.0,1929846.0,1.522,0.091,50015639,99974157,2498708038563228.0,3.029,0.276,0.072,0.031,0.065,0.043,0.001,0.001,0.001,0.001,2.712,1.218,0.042,0.045,0.042,0.038,0.044,0.04,2.482,1.11,74.007,65.414,9.146,8.93,8.698,2.341,1.37,0.415,-0.275,-0.057,806312686,352418998,468618640,409268958,680338013,897213385,3.675,2.586,1.097,91.946,189.415,1039,2031.0,1697.0,719749,3.688,-0.116,54.928,41.397,26.683,31.061,31.265,54.242,244.368,2.199,3.449,0.207,1.301,1.154,1.279,1.237,1.215,1.157,1.188,1.245,0.555,1.147,0.956,0.077,0.329,0.229,-0.381,0.05,0.742,61285,50776,938951276,644540075,-0.019,0.334,-0.243,0.092,48248,10848,29422322,0.982,0.406,0.253,19.396,19.501,19.428,0.367,0.426,-0.057,57136,1.219,0.538,32.485,43.032,37.068,61.597,81.308,343.518,3.629,2.538,1.025,91.45,89.829
2013-04-02,0.0539,6088148,5260549,3947659,6692932,5469936,6695826,6466725,4492115,2230475,309232.0,1.948,1.085,0.279,53.297,60633728191775.0,56894215515944.0,54665535479792.0,32209968678589.0,58298058349138.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,11315233330806.0,19640918710600.0,23513282442924.0,3.2008626332648e+25,2.017,1.406,0.384,61.015,58.01,171.197,6924.0,6503.0,3977.0,7490.0,6475.0,5757.0,4482.0,7564.0,6670.0,6058.0,1734.0,2170.0,2884.0,1177343.0,2079147.0,1.605,0.104,52609580,113391979,3214435238744518.0,3.121,0.312,0.075,0.032,0.068,0.045,0.001,0.001,0.001,0.001,2.777,1.251,0.045,0.05,0.045,0.04,0.047,0.042,2.534,1.139,78.528,67.414,9.13,8.909,8.672,2.337,1.366,0.144,-0.272,-0.059,850756175,364007125,486875397,444769123,830962611,1042931435,3.792,2.665,1.129,93.08,235.976,1081,2160.0,1835.0,841849,3.769,-0.089,57.343,44.077,27.577,32.466,35.145,207.029,308.786,3.113,3.531,0.23,1.322,1.163,1.286,1.243,1.223,1.161,1.192,1.248,0.563,1.145,0.953,0.079,0.328,0.227,-0.33,0.038,0.733,61721,50230,952368214,630754328,-0.015,0.331,-0.174,0.086,49382,11689,34157477,1.036,0.432,0.256,19.401,19.513,19.442,0.408,0.427,-0.056,57678,1.27,0.569,33.536,44.686,40.279,75.291,94.548,405.594,3.745,2.617,1.057,92.645,85.608
2013-04-03,0.06,6220161,5338147,3988950,6694379,5549026,6695826,6547748,4552514,2293952,309232.0,1.943,1.122,0.288,53.297,62539358860900.0,58975896856611.0,55777688549531.0,32616029589136.0,58791135649077.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,10182774073258.0,20044305085355.0,24166298674113.0,2.5922221956753e+25,2.015,1.435,0.396,60.029,57.554,154.039,7363.0,6645.0,4050.0,8171.0,6792.0,5957.0,4578.0,8293.0,6984.0,6269.0,2113.0,2388.0,3037.0,1426075.0,2305788.0,1.738,0.117,55179282,122981011,3781082247256207.0,3.248,0.353,0.081,0.034,0.073,0.051,0.001,0.001,0.001,0.001,2.871,1.288,0.048,0.055,0.049,0.043,0.051,0.045,2.599,1.17,81.743,69.112,9.123,8.894,8.652,2.335,1.363,-0.002,-0.268,-0.061,899864027,377094375,507846447,493549055,956206879,1177852524,3.958,2.756,1.163,93.897,264.158,1125,2260.0,1965.0,964945,3.964,-0.059,60.546,46.873,28.497,34.005,39.665,391.727,393.331,4.432,3.763,0.256,1.292,1.227,1.299,1.25,1.247,1.17,1.212,1.255,0.541,1.151,0.953,0.073,0.331,0.227,-0.212,0.036,0.725,62497,49584,976467593,614641815,-0.006,0.329,-0.078,0.084,51276,13162,43309807,1.163,0.468,0.26,19.405,19.523,19.454,0.437,0.366,-0.056,58298,1.403,0.611,34.722,46.586,44.695,86.649,106.79,499.422,3.911,2.707,1.09,93.508,83.204
2013-04-04,0.0618,6352174,5415745,4030241,6695103,5623013,6695826,6611170,4612006,2352822,309232.0,1.917,1.154,0.296,53.297,59129473196998.0,59231838277080.0,55963936181944.0,32978965966943.0,57911465521829.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,10042649490131.0,19731382020831.0,24532541967280.0,2.5213702195409e+25,1.969,1.456,0.407,57.005,56.139,144.48,7555.0,6794.0,4122.0,8474.0,7057.0,6139.0,4670.0,8671.0,7268.0,6465.0,2382.0,2510.0,3171.0,1574429.0,2513253.0,1.884,0.132,57367531,129336259,4181966971339743.0,3.379,0.396,0.087,0.035,0.078,0.057,0.001,0.001,0.001,0.001,2.985,1.328,0.051,0.058,0.052,0.045,0.054,0.048,2.674,1.203,82.56,69.578,9.122,8.904,8.657,2.247,1.262,0.14,-0.261,-0.063,946913769,390620653,529400965,539459089,960150478,1217365028,4.134,2.854,1.2,94.103,241.441,1165,2356.0,2068.0,1069102,4.155,-0.027,65.817,50.029,29.741,35.968,47.626,715.096,567.056,6.106,4.166,0.285,1.382,1.3,1.315,1.261,1.292,1.187,1.254,1.271,0.627,1.173,0.963,0.098,0.344,0.232,0.014,0.049,0.717,65394,51353,1069093010,659287348,0.013,0.327,0.044,0.089,53186,14643,53607673,1.339,0.514,0.264,19.41,19.534,19.467,0.459,0.45,-0.055,58982,1.58,0.663,35.948,48.539,48.85,86.935,110.343,596.59,4.087,2.805,1.126,93.724,81.424
2013-04-05,0.0643,6506275,5503651,4074968,6850081,5712177,6773134,6698222,4677386,2423226,309232.0,1.888,1.184,0.305,60.377,55786092478212.0,58195372037459.0,55757270220747.0,33303685514234.0,56387462827786.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,10254314157412.0,19126208338407.0,24746657364734.0,2.6287739709724e+25,1.873,1.468,0.419,55.022,55.189,129.366,8052.0,7008.0,4210.0,9212.0,7443.0,6385.0,4786.0,9376.0,7689.0,6726.0,2886.0,2853.0,3368.0,2035077.0,2836428.0,2.074,0.147,59595584,135208527,4570336442425772.0,3.507,0.441,0.091,0.036,0.081,0.059,0.001,0.001,0.001,0.001,3.093,1.37,0.054,0.061,0.055,0.048,0.058,0.051,2.755,1.237,83.687,70.229,9.11,8.909,8.657,2.238,1.252,0.333,-0.251,-0.065,996612312,404780326,551901435,585022130,990920185,1274370485,4.304,2.957,1.238,94.378,233.999,1205,2453.0,2170.0,1177635,4.321,0.006,70.974,53.308,30.977,37.929,53.912,927.921,726.635,7.398,4.619,0.317,1.389,1.319,1.232,1.267,1.301,1.193,1.261,1.274,0.627,0.672,0.96,0.098,0.113,0.23,0.199,0.063,0.71,65074,51155,1058645352,654198460,0.034,0.326,0.152,0.095,54514,15788,62312782,1.518,0.564,0.269,19.413,19.54,19.477,0.464,0.29,-0.054,59500,1.735,0.716,37.231,50.576,52.973,89.674,115.491,701.54,4.257,2.907,1.164,94.013,78.461
2013-04-06,0.0671,6708086,5613822,4127116,7261540,5838682,7006384,6853785,4756464,2526499,977174.0,1.885,1.216,0.314,75.669,56305374878719.0,58726810965768.0,56432105022907.0,33759925800740.0,57747650808443.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,10516744526294.0,18840725883715.0,25312859842570.0,2.7650478857832e+25,1.8,1.479,0.431,59.268,57.304,197.729,8384.0,7170.0,4283.0,9068.0,7640.0,6548.0,4877.0,9241.0,7944.0,6909.0,3039.0,2999.0,3486.0,2248623.0,3037954.0,2.225,0.163,61196359,134073592,4493932018598449.5,3.588,0.486,0.093,0.037,0.084,0.059,0.001,0.001,0.001,0.001,3.173,1.411,0.057,0.064,0.058,0.05,0.061,0.054,2.84,1.274,84.815,70.901,9.098,8.907,8.651,2.232,1.246,0.458,-0.24,-0.066,1052259702,419616955,575418958,629729766,1040345240,1335296658,4.456,3.062,1.278,94.647,239.445,1239,2431.0,2215.0,1226309,4.329,0.04,74.44,55.459,31.783,39.077,54.471,657.16,741.764,7.151,4.84,0.35,1.315,1.318,1.213,1.267,1.278,1.187,1.243,1.267,0.629,0.671,0.96,0.099,0.113,0.23,0.254,0.068,0.702,62919,49700,989697975,617523242,0.052,0.324,0.203,0.098,55165,15763,62117197,1.589,0.607,0.274,19.416,19.547,19.486,0.467,0.23,-0.053,59954,1.799,0.762,38.576,52.706,57.016,94.124,120.991,812.71,4.409,3.011,1.203,94.297,73.017
2013-04-07,0.071,6857511,5723993,4179265,7467270,5957025,7204734,6982440,4834395,2621567,977174.0,1.89,1.248,0.324,75.669,58784561381311.0,59892030838102.0,56606848019815.0,34203852889091.0,58988241768298.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,10841862131140.0,18707180146223.0,25919505474601.0,2.9386493617664e+25,1.745,1.489,0.443,59.615,57.483,175.569,8732.0,7477.0,4360.0,9240.0,7876.0,6733.0,4977.0,9339.0,8243.0,7115.0,3016.0,3162.0,3626.0,2498776.0,3286874.0,2.354,0.179,62405013,131287264,4309086448057972.0,3.616,0.53,0.098,0.038,0.087,0.061,0.001,0.001,0.001,0.001,3.244,1.452,0.061,0.068,0.061,0.053,0.064,0.057,2.93,1.312,86.307,71.841,9.1,8.904,8.644,2.225,1.237,0.518,-0.229,-0.068,1113279831,435428226,600548544,677702511,1114235739,1423014406,4.595,3.168,1.321,95.001,248.283,1261,2364.0,2223.0,1235699,4.11,0.073,76.177,56.682,32.319,39.631,53.553,519.486,716.987,5.674,4.753,0.383,1.347,1.349,1.217,1.272,1.28,1.19,1.249,1.268,0.576,0.672,0.956,0.083,0.113,0.229,0.289,0.072,0.695,65397,49383,1069205906,609668881,0.074,0.323,0.266,0.104,55315,15865,62923228,1.581,0.64,0.278,19.418,19.551,19.494,0.47,0.141,-0.052,60321,1.813,0.803,40.008,54.981,61.353,100.79,128.918,941.058,4.547,3.117,1.245,94.67,66.0
2013-04-08,0.0818,6927309,5834164,4229880,7570135,6067733,7368185,7091172,4911181,2711968,667941.0,1.894,1.279,0.334,75.669,62628787655926.0,59584319614918.0,57409957956603.0,34633063475243.0,60078214718599.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,11052546653601.0,18541883113718.0,26548753749922.0,3.0539696882506e+25,1.701,1.498,0.455,59.871,57.613,156.271,9147.0,7854.0,4453.0,9682.0,8176.0,6952.0,5090.0,9687.0,8596.0,7357.0,2922.0,3402.0,3782.0,2893644.0,3575871.0,2.483,0.196,64431646,131132652,4298943128844980.0,3.64,0.574,0.103,0.04,0.09,0.062,0.001,0.001,0.001,0.001,3.305,1.494,0.066,0.075,0.066,0.057,0.07,0.061,3.033,1.352,89.345,74.12,9.083,8.913,8.648,2.251,1.267,0.626,-0.216,-0.069,1187783618,453843044,630538898,751938281,1330709019,1657333580,4.771,3.286,1.366,95.761,283.564,1297,2343.0,2296.0,1317457,3.945,0.108,82.073,60.183,33.565,41.631,58.47,482.967,854.698,5.455,4.813,0.418,1.392,1.347,1.216,1.274,1.274,1.19,1.247,1.266,0.578,0.672,0.954,0.084,0.113,0.228,0.287,0.073,0.687,66811,49894,1115915801,622354878,0.099,0.322,0.324,0.111,56853,16667,69446512,1.6,0.677,0.283,19.421,19.554,19.499,0.47,0.294,-0.051,60965,1.882,0.852,41.677,57.696,68.074,120.4,150.154,1159.0,4.724,3.234,1.289,95.477,69.751
2013-04-09,0.0977,6997107,5944335,4279029,7621567,6171299,7496738,7190598,4986854,2798086,634311.5555555555,1.891,1.308,0.344,75.669,63723263997732.0,60050897739750.0,58472556627847.0,35121378181982.0,61336571982907.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,10949074860693.0,18701125323864.0,27149681059982.0,2.9970560076263e+25,1.67,1.506,0.467,60.586,57.971,207.663,9913.0,8419.0,4578.0,11517.0,8866.0,7365.0,5272.0,11619.0,9329.0,7797.0,3775.0,4155.0,4185.0,4316562.0,4379283.0,2.722,0.215,67789645,145523932,5294303707697924.0,3.71,0.623,0.108,0.041,0.095,0.066,0.001,0.001,0.001,0.001,3.369,1.538,0.072,0.086,0.074,0.062,0.078,0.067,3.161,1.397,92.132,76.92,9.051,8.897,8.628,2.245,1.26,0.522,-0.205,-0.07,1285347923,476135446,667841311,870274634,1667962182,2006316195,5.043,3.427,1.416,96.548,345.233,1359,2557.0,2499.0,1560757,4.021,0.145,91.009,65.897,35.483,44.961,73.811,1397.0,1362.0,6.885,5.217,0.459,1.36,1.341,1.209,1.275,1.263,1.188,1.24,1.263,0.586,0.672,0.953,0.086,0.113,0.227,0.245,0.07,0.679,66511,49992,1105939032,624788508,0.122,0.321,0.399,0.122,58710,17992,80927400,1.669,0.721,0.289,19.424,19.558,19.506,0.465,0.329,-0.051,61586,1.967,0.904,43.696,61.074,78.796,150.978,181.794,1552.0,4.995,3.375,1.338,96.314,73.549
2013-04-10,0.0892,7066905,6054505,4328179,7647284,6268182,7590391,7280717,5061446,2878277,600682.1111111111,1.877,1.335,0.355,75.669,66222093728887.0,61470345781525.0,60223121319068.0,35644762825181.0,63554054947512.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,10017080685539.0,19206820698080.0,28005325368815.0,2.5085476365151e+25,1.669,1.518,0.48,62.578,58.985,203.899,10406.0,8884.0,4689.0,11911.0,9325.0,7683.0,5426.0,12290.0,9847.0,8152.0,3964.0,4531.0,4459.0,5132843.0,4971618.0,2.957,0.235,72404772,175702618,7717852482570384.0,3.852,0.679,0.115,0.043,0.101,0.074,0.001,0.001,0.001,0.001,3.457,1.585,0.076,0.088,0.078,0.066,0.082,0.071,3.289,1.445,80.15,72.699,9.026,8.867,8.595,2.258,1.274,0.22,-0.197,-0.072,1363767349,496351594,700582744,933615576,1474887822,1819453286,5.253,3.567,1.468,87.849,300.395,1445,3099.0,2864.0,2050656,4.419,0.188,110.751,76.337,39.108,51.427,121.47,7176.0,3689.0,11.198,6.392,0.514,1.323,1.308,1.213,1.246,1.268,1.191,1.248,1.264,0.527,0.673,0.756,0.069,0.113,0.143,0.224,0.069,0.672,66465,50016,1104405178,625390165,0.141,0.32,0.465,0.134,61072,19967,99673358,1.805,0.775,0.295,19.429,19.562,19.513,0.464,0.413,-0.05,62389,2.121,0.968,45.527,64.037,84.519,133.379,164.748,1786.0,5.205,3.514,1.389,87.615,72.494
2013-04-11,0.0575,7136703,6164676,4377328,7660142,6358816,7649145,7361530,5134959,2953023,567052.6666666666,1.851,1.358,0.365,75.669,67068308741765.0,62986677705533.0,61109257991306.0,36140003890285.0,64137235862668.0,54504195308758.0,41029324032980.0,67197497880486.0,65178541237577.0,62571996343681.0,58282455579911.0,43763128342763.0,9663219377109.0,17638256207232.0,28545384259058.0,2.3344452182536e+25,1.659,1.527,0.493,59.922,57.79,209.109,10166.0,8860.0,4746.0,9502.0,9027.0,7645.0,5463.0,9873.0,9608.0,8154.0,4004.0,4480.0,4449.0,5018022.0,4949018.0,2.959,0.254,74349257,173151660,7495374304932720.0,3.937,0.734,0.116,0.044,0.103,0.074,0.001,0.001,0.001,0.001,3.505,1.629,0.076,0.073,0.073,0.065,0.077,0.07,3.37,1.49,52.512,60.154,8.989,8.87,8.594,2.1,1.103,0.149,-0.187,-0.073,1387155750,508774849,717521830,922081787,786928599,1118093015,5.171,3.654,1.518,65.378,163.892,1486,3057.0,2905.0,2109843,4.531,0.231,114.694,79.051,40.236,52.826,121.175,7252.0,3671.0,10.769,6.844,0.568,1.268,1.325,1.201,1.247,1.287,1.2,1.271,1.271,0.543,0.631,0.757,0.074,0.1,0.143,0.258,0.075,0.664,69307,51080,1200875592,652279796,0.166,0.319,0.541,0.149,62504,21154,111875259,1.929,0.831,0.303,19.438,19.576,19.53,0.501,0.808,-0.049,63095,2.27,1.035,46.649,65.564,83.463,70.892,101.012,1742.0,5.124,3.601,1.438,65.226,75.989
2013-04-12,0.0462,7206501,6274847,4426478,7666571,6443602,7673000,7433036,5207391,3022728,533423.2222222222,1.814,1.378,0.376,75.669,66593854058705.0,64682795559961.0,61439083798710.0,36637584644909.0,64024996828665.0,55096716884106.0,41527323059214.0,65507483372931.0,65353941742857.0,62915865908394.0,58910463766990.0,44368584954551.0,9677588973797.0,16296614049767.0,28885591087043.0,2.3413932086439e+25,1.63,1.533,0.505,58.612,57.193,236.868,9653.0,8853.0,4791.0,7931.0,8671.0,7562.0,5483.0,7595.0,9275.0,8105.0,4022.0,4423.0,4431.0,4890942.0,4908464.0,2.789,0.273,75753638,169664822,7196537946785288.0,3.95,0.786,0.117,0.045,0.103,0.072,0.002,0.001,0.001,0.001,3.507,1.67,0.073,0.059,0.066,0.062,0.07,0.068,3.398,1.531,46.393,56.643,8.95,8.858,8.58,2.073,1.074,0.058,-0.179,-0.074,1392135055,518441394,728734302,901416508,553037582,869989024,4.842,3.682,1.564,59.878,118.702,1514,2972.0,2907.0,2112289,4.336,0.272,117.118,81.312,41.177,53.832,120.014,7535.0,3601.0,8.476,6.756,0.621,1.248,1.319,1.199,1.248,1.287,1.202,1.277,1.272,0.542,0.63,0.757,0.074,0.099,0.143,0.275,0.079,0.657,69261,51081,1199269405,652320582,0.185,0.318,0.576,0.162,63076,21584,116462670,1.979,0.881,0.31,19.446,19.589,19.545,0.525,0.76,-0.048,63675,2.327,1.094,47.521,66.571,81.591,49.659,78.465,1664.0,4.798,3.629,1.484,59.742,81.5
2013-04-13,0.0492,7276299,6375101,4475627,7669785,6522918,7673000,7495236,5278743,3087734,499793.77777777775,1.767,1.394,0.387,64.467,64162643220993.0,64837746499643.0,61782278732706.0,37109457916385.0,63746965453545.0,55600984912757.0,41997335109082.0,63666992007672.0,64911460684914.0,63112370912324.0,59424157039204.0,44946063782755.0,9520248625628.0,15506433654622.0,29197883149984.0,2.2658783473441e+25,1.581,1.533,0.518,58.148,56.984,207.729,9320.0,8852.0,4839.0,7263.0,8395.0,7500.0,5507.0,6600.0,8974.0,8069.0,4024.0,4352.0,4415.0,4734797.0,4872858.0,2.527,0.291,76726062,165815897,6873727930892684.0,3.895,0.834,0.115,0.045,0.103,0.07,0.00175,0.001,0.001,0.001,3.464,1.706,0.07,0.054,0.062,0.061,0.064,0.066,3.387,1.568,48.122,57.312,8.926,8.853,8.572,2.076,1.078,0.028,-0.17,-0.075,1401156941,528852702,741194598,879468861,613680429,937017691,4.405,3.667,1.606,60.772,130.099,1538,2866.0,2900.0,2102569,3.934,0.312,118.852,82.721,41.856,54.205,118.485,7897.0,3510.0,5.585,6.26,0.671,1.25,1.283,1.192,1.246,1.266,1.196,1.261,1.266,0.566,0.636,0.76,0.08,0.101,0.144,0.215,0.075,0.649,69434,51184,1205285576,654939242,0.197,0.317,0.559,0.17,63298,21686,117569650,1.924,0.917,0.317,19.456,19.601,19.561,0.546,0.854,-0.047,63979,2.254,1.135,48.46,67.69,79.6,55.132,84.513,1584.0,4.365,3.616,1.526,60.631,84.999
2013-04-14,0.0459,7346097,6469279,4524777,7671393,6597117,7673000,7548129,5349015,3148331,466164.3333333333,1.71,1.405,0.398,58.283,62745940739411.0,64684411716147.0,62288221277125.0,37534784253576.0,63219391881007.0,55990384025701.0,42428968868517.0,62404005978871.0,64111191850851.0,63092956569749.0,59805505495776.0,45485123414557.0,8642170438363.0,14831557300994.0,29497871637179.0,1.8671777471429e+25,1.513,1.529,0.53,57.375,56.638,163.886,8801.0,8767.0,4877.0,6521.0,8046.0,7389.0,5513.0,6148.0,8564.0,7976.0,4225.0,4267.0,4388.0,4552780.0,4813521.0,2.193,0.307,77237603,167456084,7010384976472504.0,3.775,0.877,0.115,0.046,0.103,0.068,0.0015,0.001,0.001,0.001,3.396,1.738,0.067,0.05,0.058,0.059,0.058,0.064,3.343,1.602,46.351,56.345,8.928,8.865,8.583,2.118,1.121,0.171,-0.159,-0.076,1403741761,538453760,751838459,855279033,538057176,864095279,3.908,3.616,1.644,59.319,113.253,1549,2931.0,2889.0,2087001,3.347,0.349,118.671,83.466,42.28,54.081,117.329,8289.0,3442.0,2.684,5.496,0.717,1.261,1.304,1.189,1.251,1.274,1.2,1.273,1.269,0.556,0.63,0.756,0.077,0.099,0.143,0.189,0.074,0.642,69509,50778,1207887412,644611706,0.207,0.316,0.517,0.175,63687,21536,115953283,1.756,0.936,0.323,19.466,19.613,19.576,0.559,0.912,-0.046,64280,2.066,1.156,49.325,68.643,77.413,48.253,77.867,1498.0,3.871,3.566,1.564,59.178,88.095
2013-04-15,0.0436,7415895,6563458,4573926,7672196,6666529,7673000,7591716,5418207,3204770,432534.8888888889,1.646,1.413,0.409,58.283,62181309598980.0,64491019249841.0,62037669432380.0,37976966029229.0,62913140487095.0,56377739011486.0,42858978042953.0,62028228761846.0,63438685498154.0,63053778573514.0,60168672260366.0,46022697086025.0,8456329193286.0,13806539915148.0,29756984964706.0,1.7877375856304e+25,1.434,1.52,0.542,57.539,56.712,179.279,8193.0,8670.0,4921.0,6193.0,7755.0,7291.0,5521.0,5958.0,8177.0,7886.0,4419.0,4198.0,4348.0,4406319.0,4725580.0,1.833,0.323,77785369,168578531,7104680291951536.0,3.615,0.916,0.118,0.047,0.105,0.067,0.00125,0.001,0.001,0.001,3.328,1.769,0.061,0.047,0.054,0.057,0.052,0.061,3.27,1.633,45.066,55.662,8.894,8.863,8.58,2.125,1.129,0.247,-0.148,-0.077,1398146246,547478560,761129145,830056902,479769021,812231991,3.387,3.534,1.679,58.305,99.659,1560,2977.0,2883.0,2078022,2.708,0.383,118.976,84.327,42.878,54.414,116.517,8955.0,3394.0,0.51,4.704,0.761,1.347,1.37,1.224,1.259,1.307,1.213,1.312,1.28,0.551,0.64,0.764,0.076,0.102,0.146,0.261,0.084,0.635,66099,50775,1092275268,644531554,0.214,0.315,0.456,0.177,64414,21763,118412322,1.59,0.948,0.329,19.479,19.63,19.596,0.594,1.166,-0.045,64753,1.901,1.174,50.138,69.473,75.138,42.949,73.141,1411.0,3.352,3.486,1.598,58.164,88.156
