Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-7,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-wma-3,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-trx-14,difficulty-btc-rsi-90,hashrate-btc-sma-3,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-30,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-var-90,hashrate-btc-trx-30,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-30,mining_profitability-btc-mom-90,mining_profitability-btc-var-14,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-90,mining_profitability-btc-roc-90,sentinusd-btc-sma-90,sentinusd-btc-ema-90,sentinusd-btc-wma-90,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-trx-90,transactionfees-btc-sma-3,transactionfees-btc-sma-30,transactionfees-btc-ema-3,transactionfees-btc-wma-3,transactionfees-btc-wma-90,transactionfees-btc-std-14,transactionfees-btc-std-90,transactionfees-btc-mom-90,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-mom-30,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-30,median_transaction_fee-btc-roc-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-std-14,marketcap-btc-std-90,marketcap-btc-mom-90,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-14,marketcap-btc-rsi-90,marketcap-btc-roc-30,marketcap-btc-roc-90,transactionvalue-btc-std-90,transactionvalue-btc-var-7,transactionvalue-btc-trx-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-30,mediantransactionvalue-btc-wma-90,mediantransactionvalue-btc-std-30,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-mom-90,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-3,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-3,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-var-7,fee_to_reward-btc-var-14,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-sma-7,size-btc-sma-14,size-btc-sma-30,size-btc-sma-90,size-btc-ema-14,size-btc-ema-30,size-btc-ema-90,size-btc-wma-14,size-btc-wma-30,size-btc-wma-90,size-btc-std-90,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-sma-14,transactions-btc-sma-90,transactions-btc-wma-14,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-sma-90,sentbyaddress-btc-std-90,sentbyaddress-btc-var-30,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,top100cap-btc-sma-3,top100cap-btc-sma-7,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-ema-7,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-7,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-rsi-90,top100cap-btc-roc-90,activeaddresses-btc-ema-90,activeaddresses-btc-wma-90,activeaddresses-btc-std-30,activeaddresses-btc-std-90,activeaddresses-btc-var-90,activeaddresses-btc-trx-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-14,price-btc-sma-30,price-btc-ema-3,price-btc-ema-7,price-btc-ema-14,price-btc-wma-3,price-btc-wma-7,price-btc-wma-14,price-btc-std-14,price-btc-std-30,price-btc-std-90,price-btc-mom-30,price-btc-mom-90,price-btc-var-14,price-btc-var-30,price-btc-var-90,price-btc-trx-14,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-30,price-btc-rsi-90,price-btc-roc-30,price-btc-roc-90,bitcoin-price_raw_1d,bitcoin-price_raw_90d,90d_binary_price_change
2013-04-01,1039517192,94.715,7220.0,19.962,6695826,3906368,6690038,6096133,5385392,6695826,5652157,4430808,2161986,1.93,91.841,59387909975187.0,53495262808157.0,44956251399826.0,31776180357082.0,46935502677847.0,49808994690260.0,37564285480092.0,22738053510663.0,3.3007362644153e+25,1.2925476936344e+26,1.373,6932.0,6562.0,6279.0,5449.0,6990.0,6648.0,6242.0,4403.0,7035.0,6806.0,4650.0,1716.0,2048.0,4974.0,736163.0,1048771.0,1929846.0,1.522,1.215,0.091,54.763,221.516,50015639,62957053,67298533,99974157,83568369,0.276,0.089,0.056,0.084,0.086,0.042,0.031,0.045,0.067,2.712,1.218,0.045,0.037,0.017,0.045,0.044,0.031,0.041,2.482,1.11,65.414,185.993,606.456,8.93,8.698,991852178,931090321,806312686,352418998,997954603,929243159,824742386,669282203,428855865,966815475,881124856,284722845,455860515,897213385,4.187527004296205e+16,5.195220233693293e+16,3.675,2.586,1.097,95.218,91.946,189.415,630.491,1697.0,348197,3.059,-0.116,26.683,31.061,48.928,32.651,31.265,28.818,50.469,2.119,0.207,1.136,1.301,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.205,1.188,1.245,0.555,0.077,0.077,0.229,0.05,0.742,168568,149845,154996,154528,155480,154181,149099,158761,151140,156022,50776,644540075,-0.019,0.334,52906,52541,53635,16078,64627438,39879,10848,41786951,29422322,0.406,19.921,19.799,19.59,19.499,19.799,19.671,19.545,19.501,19.86,19.706,19.568,19.428,0.322,0.426,0.026,0.011,-0.057,50.301,2.183,57827,60273,20592,18183,82659141,0.27,90.406,84.929,73.635,56.481,90.961,84.752,75.294,91.616,88.156,80.404,25.772,37.068,41.348,61.597,81.308,166.051,343.518,427.406,3.629,2.538,1.025,93.774,91.45,185.993,606.456,107.749,89.829,0
2013-04-02,1183101461,107.749,7990.0,20.024,6695826,3947659,6692932,6176092,5469936,6695826,5749761,4492115,2230475,1.948,91.841,60633728191775.0,54665535479792.0,45919538052526.0,32209968678589.0,47897444240696.0,50898629883949.0,38225151777783.0,23513282442924.0,3.2008626332648e+25,1.3821861281017e+26,1.406,7394.0,6924.0,6503.0,5582.0,7490.0,6984.0,6475.0,4482.0,7564.0,7164.0,4740.0,1734.0,2170.0,5757.0,751741.0,1177343.0,2079147.0,1.605,1.241,0.104,55.757,257.863,52609580,67228470,71854377,113391979,94000481,0.312,0.092,0.059,0.094,0.094,0.043,0.034,0.047,0.094,2.777,1.251,0.049,0.039,0.017,0.05,0.047,0.038,0.047,2.534,1.139,67.414,231.964,716.218,8.909,8.672,1066526516,987933018,850756175,364007125,1090528032,992707735,872523596,702431833,445432691,1029818260,931363359,310676905,485734098,1042931435,4.945489328610125e+16,5.898440351722694e+16,3.792,2.665,1.129,96.519,93.08,235.976,744.047,1835.0,643025,3.125,-0.089,27.577,32.466,52.383,34.151,35.145,32.06,80.441,2.21,0.23,1.094,1.322,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.192,1.248,0.563,0.075,0.079,0.227,0.038,0.733,170577,152916,155608,155210,158142,155553,149678,162174,152459,156482,50230,630754328,-0.015,0.331,54132,52806,54994,15980,63840999,40218,11689,47486125,34157477,0.432,19.944,19.861,19.639,19.522,19.855,19.718,19.576,19.513,19.917,19.764,19.602,19.442,0.345,0.427,0.03,0.014,-0.056,50.893,2.179,58575,61036,21588,19348,93587018,0.274,97.171,90.078,77.661,58.991,99.355,90.501,79.621,100.288,93.861,84.952,28.113,40.279,44.05,75.291,94.548,197.592,405.594,485.111,3.745,2.617,1.057,94.987,92.645,231.964,716.218,120.003,85.608,0
2013-04-03,1318189886,120.003,8852.0,19.987,6695826,3988950,6694379,6245390,5549026,6695826,5842360,4552514,2293952,1.943,91.841,62539358860900.0,55777688549531.0,46674364484225.0,32616029589136.0,48695697357354.0,51824489851457.0,38841863840867.0,24166298674113.0,2.5922221956753e+25,1.4600249790161e+26,1.435,8021.0,7363.0,6645.0,5743.0,8171.0,7451.0,6792.0,4578.0,8293.0,7645.0,4847.0,2113.0,2388.0,6575.0,1116414.0,1426075.0,2305788.0,1.738,1.276,0.117,56.831,288.861,55179282,71293657,76240859,122981011,102642361,0.353,0.105,0.062,0.114,0.114,0.046,0.041,0.052,0.121,2.871,1.288,0.054,0.041,0.018,0.055,0.051,0.027,0.053,2.599,1.17,69.112,79.898,808.284,8.894,8.652,1180269513,1052246046,899864027,377094375,1204358959,1074078272,931945768,742158159,464614168,1112382477,993687854,368052436,522966667,1177852524,6.089766752797075e+16,6.837353381290434e+16,3.958,2.756,1.163,97.272,93.897,264.158,839.301,1965.0,779856,3.214,-0.059,28.497,34.005,56.154,35.799,39.665,35.657,82.801,2.327,0.256,1.267,1.292,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.287,1.212,1.255,0.541,0.051,0.073,0.227,0.036,0.725,169651,158643,156259,156056,161618,157402,150437,166346,154304,157119,49584,614641815,-0.006,0.329,55396,53046,56278,15982,63855681,40562,13162,64654761,43309807,0.468,19.991,19.906,19.68,19.542,19.888,19.754,19.602,19.523,19.948,19.81,19.632,19.454,0.364,0.366,0.033,0.017,-0.056,50.53,1.864,59642,62124,25575,21903,119931071,0.279,107.489,95.902,82.108,61.879,109.679,97.877,85.006,111.703,101.342,90.598,33.32,44.695,47.421,86.649,106.79,277.562,499.422,562.186,3.911,2.707,1.09,95.785,93.508,259.795,808.284,123.562,83.204,0
2013-04-04,1357824968,123.562,8777.0,19.99,6695826,4030241,6695103,6305448,5623013,6695826,5929952,4612006,2352822,1.917,91.841,59129473196998.0,55963936181944.0,47372797279589.0,32978965966943.0,49120004311079.0,52379205377642.0,39339807259569.0,24532541967280.0,2.5213702195409e+25,1.5046140384409e+26,1.456,8540.0,7555.0,6794.0,5910.0,8474.0,7782.0,7057.0,4670.0,8671.0,7999.0,4951.0,2382.0,2510.0,6518.0,1418707.0,1574429.0,2513253.0,1.884,1.316,0.132,56.71,288.561,57367531,74704127,80005491,129336259,108586735,0.396,0.126,0.066,0.128,0.132,0.048,0.05,0.056,0.131,2.985,1.328,0.059,0.043,0.019,0.058,0.054,0.043,0.055,2.674,1.203,69.578,237.355,834.762,8.904,8.657,1286372105,1111986416,946913769,390620653,1281091963,1145014946,988729661,781878598,484245175,1188777207,1054749313,418350875,559483423,1217365028,7.27540271846002e+16,7.825542515096218e+16,4.134,2.854,1.2,97.446,94.103,241.441,866.699,2068.0,858294,3.307,-0.027,29.741,35.968,61.086,37.883,47.626,40.642,111.93,2.481,0.285,1.627,1.382,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.383,1.254,1.271,0.627,0.105,0.098,0.232,0.049,0.717,176267,165396,157161,156943,169611,161541,152000,174736,158518,158559,51353,659287348,0.013,0.327,56210,53249,57791,16206,65661184,40971,14643,85452388,53607673,0.514,20.0,19.947,19.723,19.564,19.914,19.786,19.627,19.534,19.969,19.852,19.661,19.467,0.383,0.45,0.037,0.02,-0.055,50.559,2.302,60725,63235,29141,24213,146568407,0.284,117.104,101.303,86.363,64.777,116.62,104.298,90.146,119.74,108.257,96.125,37.881,48.85,50.724,86.935,110.343,358.748,596.59,643.239,4.087,2.805,1.126,95.977,93.724,237.355,834.762,128.664,81.424,0
2013-04-05,1414392012,128.664,9950.0,19.833,6740002,4074968,6850081,6398730,5712177,6850442,6032489,4677386,2423226,1.888,92.508,55786092478212.0,55757270220747.0,47974562797815.0,33303685514234.0,49293904339116.0,52665828439969.0,39753796023936.0,24746657364734.0,2.6287739709724e+25,1.5309926268188e+26,1.468,9193.0,8052.0,7008.0,6087.0,9212.0,8324.0,7443.0,4786.0,9376.0,8598.0,5079.0,2886.0,2853.0,7877.0,2082572.0,2035077.0,2836428.0,2.074,1.368,0.147,58.121,379.844,59595584,78059562,83741950,135208527,114080731,0.441,0.132,0.067,0.124,0.129,0.05,0.052,0.059,0.11,3.093,1.37,0.062,0.045,0.019,0.061,0.058,0.045,0.058,2.755,1.237,70.229,229.992,876.762,8.909,8.657,1363468955,1178437837,996612312,404780326,1347741988,1212359213,1045484641,822685915,504687962,1264378606,1117079745,461177453,596666721,1274370485,8.556272309817466e+16,8.90027940952962e+16,4.304,2.957,1.238,97.675,94.378,233.999,910.125,2170.0,631002,3.4,0.006,30.977,37.929,65.935,39.98,53.912,45.16,111.238,2.658,0.317,1.659,1.389,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.4,1.261,1.274,0.627,0.105,0.098,0.23,0.063,0.71,178017,169640,157013,157741,172338,163382,152837,178026,160641,159287,51155,654198460,0.034,0.326,56271,53491,58458,16024,64193454,41318,15788,102026223,62312782,0.564,19.937,19.943,19.757,19.578,19.893,19.792,19.64,19.54,19.94,19.866,19.678,19.477,0.392,0.29,0.038,0.023,-0.054,49.033,1.485,61589,64138,31093,25666,164680970,0.29,124.076,107.314,90.858,67.766,122.642,110.389,95.282,125.52,115.097,101.765,41.76,52.973,54.087,89.674,115.491,435.977,701.54,731.342,4.257,2.907,1.164,96.233,94.013,229.992,876.762,134.114,78.461,0
2013-04-06,1474827634,134.114,8923.0,19.833,6879599,4127116,7261540,6568632,5838682,7287490,6172446,4756464,2526499,1.885,93.644,56305374878719.0,56432105022907.0,48957293289103.0,33759925800740.0,50102569526942.0,53559612436911.0,40380708754402.0,25312859842570.0,2.7650478857832e+25,1.6018521835239e+26,1.479,9217.0,8384.0,7170.0,6217.0,9068.0,8474.0,7640.0,4877.0,9241.0,8816.0,5183.0,3039.0,2999.0,6611.0,2309302.0,2248623.0,3037954.0,2.225,1.419,0.163,56.491,285.864,61196359,79808105,85896295,134073592,115485795,0.486,0.121,0.069,0.112,0.114,0.051,0.05,0.06,0.087,3.173,1.411,0.064,0.048,0.02,0.064,0.061,0.047,0.06,2.84,1.274,70.901,235.372,922.051,8.907,8.651,1415681538,1252116292,1052259702,419616955,1411284811,1277976318,1102730374,864759574,526009713,1338476055,1180841788,489671522,634738238,1335296658,9.913989447586125e+16,1.0072315767911875e+17,4.456,3.062,1.278,97.892,94.647,239.445,956.989,2215.0,481790,3.465,0.04,31.783,39.077,68.313,41.281,54.471,46.74,72.548,2.811,0.35,1.442,1.315,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.351,1.243,1.267,0.629,0.126,0.099,0.23,0.068,0.702,173848,172024,155571,158385,170502,163071,152963,176549,160741,159305,49700,617523242,0.052,0.324,56190,53699,57829,15424,59472284,41563,15763,102441468,62117197,0.607,19.885,19.925,19.792,19.593,19.878,19.797,19.653,19.547,19.913,19.876,19.695,19.486,0.4,0.23,0.04,0.026,-0.053,49.037,1.171,62061,64656,31352,25872,167334419,0.296,128.78,113.979,95.893,70.904,128.378,116.32,100.46,130.538,121.797,107.532,44.329,57.016,57.528,94.124,120.991,491.259,812.71,827.367,4.409,3.011,1.203,96.479,94.297,235.372,922.051,142.08,73.017,0
2013-04-07,1563013110,142.08,9411.0,19.767,7019195,4179265,7467270,6715881,5957025,7561676,6305297,4834395,2621567,1.89,93.644,58784561381311.0,56606848019815.0,49888014119461.0,34203852889091.0,50915953083130.0,54446884782637.0,41016974443350.0,25919505474601.0,2.9386493617664e+25,1.6795519101196e+26,1.489,9428.0,8732.0,7477.0,6370.0,9240.0,8709.0,7876.0,4977.0,9339.0,9073.0,5295.0,3016.0,3162.0,6962.0,2274547.0,2498776.0,3286874.0,2.354,1.472,0.179,57.07,284.158,62405013,80850275,87347514,131287264,115946907,0.53,0.114,0.072,0.117,0.114,0.053,0.046,0.062,0.109,3.244,1.452,0.067,0.051,0.021,0.068,0.064,0.05,0.064,2.93,1.312,71.841,244.103,979.512,8.904,8.644,1484077585,1335838037,1113279831,435428226,1487148960,1349235516,1164101405,909808190,548800997,1416200260,1248942242,515461678,675664378,1423014406,1.148201734889614e+17,1.1413058805451376e+17,4.595,3.168,1.321,98.162,95.001,248.283,1016.0,2223.0,668299,3.48,0.073,32.319,39.631,68.883,41.996,53.553,47.111,48.258,2.913,0.383,1.227,1.347,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.349,1.249,1.268,0.576,0.117,0.083,0.229,0.072,0.695,182074,177415,157037,159496,175157,165803,154115,181001,163956,160339,49383,609668881,0.074,0.323,57063,53957,58787,15284,58397618,41727,15865,100672517,62923228,0.64,19.811,19.914,19.82,19.602,19.85,19.793,19.66,19.551,19.874,19.873,19.706,19.494,0.404,0.141,0.041,0.028,-0.052,48.404,0.72,62611,65253,31346,26457,174998891,0.302,134.952,121.555,101.415,74.263,135.229,122.76,106.009,137.188,128.822,113.691,46.645,61.353,61.227,100.79,128.918,543.945,941.058,937.173,4.547,3.117,1.245,96.797,94.67,244.103,979.512,163.561,66.0,0
2013-04-08,1799989332,163.561,10124.0,19.689,7158791,4229880,7570135,6843497,6067733,7673000,6431039,4911181,2711968,1.894,93.644,62628787655926.0,57409957956603.0,50810250348052.0,34633063475243.0,51718029243541.0,55315279585865.0,41657508084677.0,26548753749922.0,3.0539696882506e+25,1.762090814185e+26,1.498,9486.0,9147.0,7854.0,6535.0,9682.0,9062.0,8176.0,5090.0,9687.0,9421.0,5422.0,2922.0,3402.0,8304.0,2134668.0,2893644.0,3575871.0,2.483,1.528,0.196,57.897,456.035,64431646,83687842,90590471,131132652,119753751,0.574,0.115,0.074,0.12,0.119,0.055,0.043,0.064,0.112,3.305,1.494,0.073,0.054,0.022,0.075,0.07,0.06,0.075,3.033,1.352,74.12,278.959,1120.0,8.913,8.648,1612610025,1444476915,1187783618,453843044,1643569146,1461923970,1248886462,967239231,576299641,1532238083,1340503509,584766239,730830417,1657333580,1.413527946427534e+17,1.3352827466677536e+17,4.771,3.286,1.366,98.658,95.761,283.564,1162.0,2296.0,462659,3.493,0.108,33.565,41.631,73.653,44.156,58.47,51.324,112.106,3.035,0.418,1.144,1.392,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.327,1.247,1.266,0.578,0.086,0.084,0.228,0.073,0.687,190055,179311,158313,160005,177818,167694,155017,183361,166413,161122,49894,622354878,0.099,0.322,57969,54213,59382,15008,56310715,42067,16667,105592143,69446512,0.677,19.763,19.875,19.837,19.608,19.81,19.779,19.662,19.554,19.817,19.856,19.712,19.499,0.408,0.294,0.042,0.03,-0.051,47.679,1.514,63739,66430,33938,28724,206269076,0.309,146.585,131.39,108.159,78.277,149.395,132.96,113.683,151.492,139.324,121.977,52.913,68.074,66.216,120.4,150.154,699.937,1159.0,1096.0,4.724,3.234,1.289,97.44,95.477,278.959,1120.0,195.397,69.751,0
2013-04-09,2151102847,195.397,13352.0,19.714,7298387,4279029,7621567,6954098,6171299,7673000,6549674,4986854,2798086,1.891,93.644,63723263997732.0,58472556627847.0,51677790418136.0,35121378181982.0,52582133406915.0,56237950129593.0,42327366992383.0,27149681059982.0,2.9970560076263e+25,1.8427629541468e+26,1.506,10963.0,9913.0,8419.0,6805.0,11517.0,10135.0,8866.0,5272.0,11619.0,10472.0,5618.0,3775.0,4155.0,11242.0,3563293.0,4316562.0,4379283.0,2.722,1.606,0.215,61.31,532.828,67789645,88974739,96300581,145523932,131209654,0.623,0.129,0.078,0.132,0.133,0.057,0.042,0.068,0.134,3.369,1.538,0.084,0.058,0.023,0.086,0.078,0.053,0.091,3.161,1.397,76.92,119.952,1337.0,8.897,8.628,1838035096,1582762827,1285347923,476135446,1897335997,1634218689,1369181980,1043617529,610910701,1708894567,1468946073,722985827,809883232,2006316195,1.893444844507342e+17,1.6397771221867283e+17,5.043,3.427,1.416,99.062,96.548,345.233,1386.0,2499.0,1036203,3.546,0.145,35.483,44.961,82.231,47.663,73.811,61.185,172.672,3.222,0.459,1.199,1.36,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.295,1.24,1.263,0.586,0.096,0.086,0.227,0.07,0.679,190581,180579,158105,160347,177993,168432,155546,183337,167756,161542,49992,624788508,0.122,0.321,59247,54477,60560,15049,56620209,42470,17992,122951117,80927400,0.721,19.723,19.83,19.846,19.618,19.786,19.771,19.665,19.558,19.777,19.839,19.718,19.506,0.413,0.329,0.043,0.032,-0.051,47.935,1.699,64801,67553,35879,30637,234652099,0.317,167.012,143.911,116.995,83.309,172.396,148.569,124.578,175.898,155.325,133.608,65.438,78.796,73.372,150.978,181.794,1071.0,1552.0,1346.0,4.995,3.375,1.338,98.043,96.314,339.904,1337.0,178.5,73.549,0
2013-04-10,1965870661,178.5,12305.0,19.762,7437983,4328179,7647284,7049951,6268182,7673000,6661200,5061446,2878277,1.877,93.644,66222093728887.0,60223121319068.0,52725657551404.0,35644762825181.0,53719189563974.0,57433350995605.0,43098468655225.0,28005325368815.0,2.5085476365151e+25,1.9607456225329e+26,1.518,11927.0,10406.0,8884.0,7054.0,11911.0,10677.0,9325.0,5426.0,12290.0,11070.0,5788.0,3964.0,4531.0,10026.0,3928726.0,5132843.0,4971618.0,2.957,1.69,0.235,59.722,439.973,72404772,96526912,104318360,175702618,151433519,0.679,0.149,0.083,0.157,0.159,0.06,0.055,0.074,0.141,3.457,1.585,0.09,0.062,0.023,0.088,0.082,0.044,0.082,3.289,1.445,72.699,97.805,1198.0,8.867,8.595,1972320947,1675288652,1363767349,496351594,1931603329,1717131682,1448740471,1103117731,640690041,1804671525,1559682438,762011643,864916406,1819453286,2.179095110426944e+17,1.87020097431988e+17,5.253,3.567,1.468,84.586,87.849,300.395,1243.0,2864.0,3000111,3.666,0.188,39.108,51.427,99.86,54.337,121.47,88.13,326.204,3.576,0.514,1.211,1.323,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.295,1.248,1.264,0.527,0.087,0.069,0.143,0.069,0.672,188329,178990,158038,160400,176719,168432,155830,181719,168423,161720,50016,625390165,0.141,0.32,60005,54602,61153,15166,57499297,42930,19967,150691678,99673358,0.775,19.722,19.798,19.852,19.628,19.78,19.77,19.672,19.562,19.76,19.828,19.728,19.513,0.418,0.413,0.044,0.033,-0.05,48.425,2.133,66310,69133,40334,34140,291393310,0.325,179.152,152.268,124.085,87.755,175.448,156.052,131.767,181.642,163.972,141.809,68.953,84.519,78.344,133.379,164.748,1189.0,1786.0,1534.0,5.205,3.514,1.389,86.819,87.615,295.611,1198.0,115.0,72.494,0
2013-04-11,1267079990,115.0,7092.0,20.19,7577580,4377328,7660142,7133024,6358816,7673000,6765619,5134959,2953023,1.851,93.644,67068308741765.0,61109257991306.0,53954152826930.0,36140003890285.0,54504195308758.0,58282455579911.0,43763128342763.0,28545384259058.0,2.3344452182536e+25,2.0370974062431e+26,1.527,10916.0,10166.0,8860.0,7116.0,9502.0,9781.0,9027.0,5463.0,9873.0,10242.0,5840.0,4004.0,4480.0,5145.0,4007207.0,5018022.0,4949018.0,2.959,1.746,0.254,52.832,264.198,74349257,98635406,106957011,173151660,153047169,0.734,0.144,0.084,0.132,0.138,0.062,0.053,0.075,0.095,3.505,1.629,0.081,0.063,0.024,0.073,0.077,0.035,0.051,3.37,1.49,60.154,160.724,722.163,8.87,8.594,1794684499,1662325084,1387155750,508774849,1599341659,1604618759,1424519073,1113695941,654456853,1702619360,1546790790,727839133,876642040,1118093015,2.1255870552985856e+17,1.9212531661372112e+17,5.171,3.654,1.518,53.076,65.378,163.892,750.464,2905.0,3033141,3.742,0.231,40.236,52.826,102.362,56.008,121.175,89.385,101.523,3.842,0.568,1.338,1.268,1.325,1.201,1.247,1.409,1.342,1.314,1.287,1.2,1.413,1.329,1.271,1.271,0.543,0.036,0.074,0.143,0.075,0.664,187604,181935,159257,160726,182023,171533,157163,186719,172195,162953,51080,652279796,0.166,0.319,60536,54776,62252,15427,59494684,43273,21154,163781316,111875259,0.831,19.889,19.827,19.887,19.653,19.883,19.826,19.705,19.576,19.858,19.873,19.764,19.53,0.448,0.808,0.05,0.035,-0.049,52.423,4.169,67591,70500,42871,36545,333892691,0.335,162.965,151.045,126.174,90.118,145.224,145.789,129.532,149.566,154.655,140.598,65.885,83.463,79.392,70.892,101.012,1085.0,1742.0,1576.0,5.124,3.601,1.438,60.08,65.226,160.724,722.163,92.446,75.989,0
2013-04-12,1018942331,92.446,6360.0,20.136,7673000,4426478,7666571,7205021,6443602,7673000,6862931,5207391,3022728,1.814,93.644,66593854058705.0,61439083798710.0,54950625608863.0,36637584644909.0,55096716884106.0,58910463766990.0,44368584954551.0,28885591087043.0,2.3413932086439e+25,2.0859434311197e+26,1.533,8586.0,9653.0,8853.0,7160.0,7931.0,8926.0,8671.0,5483.0,7595.0,9290.0,5876.0,4022.0,4423.0,4077.0,4044145.0,4890942.0,4908464.0,2.789,1.774,0.273,51.98,178.631,75753638,99510696,108366064,169664822,153054969,0.786,0.126,0.086,0.11,0.11,0.063,0.053,0.075,0.078,3.507,1.67,0.064,0.063,0.024,0.059,0.07,0.025,0.039,3.398,1.531,56.643,116.065,561.246,8.858,8.58,1417297661,1605832272,1392135055,518441394,1309141995,1458199652,1370442174,1107582805,662467523,1541773671,1497695668,716655161,879739053,869989024,2.031379304399611e+17,1.9348520028012816e+17,4.842,3.682,1.564,46.457,59.878,118.702,584.068,2907.0,3463470,3.755,0.272,41.177,53.832,103.623,57.291,120.014,90.037,84.708,4.017,0.621,1.398,1.248,1.319,1.199,1.248,1.35,1.329,1.311,1.287,1.202,1.39,1.325,1.277,1.272,0.542,0.032,0.074,0.143,0.079,0.657,183848,180932,159133,160733,179590,171033,157309,184298,172486,163020,51081,652320582,0.185,0.318,60281,54920,61982,15321,58683492,43613,21584,165857321,116462670,0.881,20.029,19.87,19.906,19.675,19.946,19.867,19.733,19.589,19.935,19.906,19.795,19.545,0.471,0.76,0.055,0.037,-0.048,51.908,3.92,68368,71377,43031,37391,349519493,0.344,128.648,145.871,126.592,91.774,118.835,132.453,124.587,114.306,140.006,136.1,64.942,81.591,79.661,49.659,78.465,1054.0,1664.0,1586.0,4.798,3.629,1.484,53.973,59.742,116.065,561.246,98.435,81.5,0
