Date,bitcoin-marketcap_raw,bitcoin-median_transaction_fee_raw,difficulty-btc--sma7,difficulty-btc--sma14,difficulty-btc--sma30,difficulty-btc--ema3,difficulty-btc--ema14,difficulty-btc--ema30,difficulty-btc--ema90,difficulty-btc--wma3,difficulty-btc--wma14,difficulty-btc--wma90,difficulty-btc--std30,difficulty-btc--std90,difficulty-btc--var30,difficulty-btc--trx30,difficulty-btc--trx90,hashrate-btc--sma14,hashrate-btc--sma30,hashrate-btc--ema90,hashrate-btc--wma7,hashrate-btc--wma14,hashrate-btc--wma90,hashrate-btc--trx14,hashrate-btc--trx30,hashrate-btc--trx90,mining_profitability-btc--sma3,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema3,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--var90,mining_profitability-btc--trx14,mining_profitability-btc--trx30,mining_profitability-btc--trx90,mining_profitability-btc--roc90,sentinusd-btc--std90,transactionfees-btc--ema14,transactionfees-btc--std90,transactionfees-btc--mom90,transactionfees-btc--trx30,transactionfees-btc--trx90,transactionfees-btc--rsi90,transactionfees-btc--roc90,median_transaction_fee-btc--sma3,median_transaction_fee-btc--sma90,median_transaction_fee-btc--ema14,median_transaction_fee-btc--wma3,median_transaction_fee-btc--wma7,median_transaction_fee-btc--wma90,median_transaction_fee-btc--mom30,median_transaction_fee-btc--mom90,median_transaction_fee-btc--trx30,median_transaction_fee-btc--roc90,confirmationtime-btc--sma30,confirmationtime-btc--wma30,marketcap-btc--sma3,marketcap-btc--sma30,marketcap-btc--sma90,marketcap-btc--ema7,marketcap-btc--ema14,marketcap-btc--ema30,marketcap-btc--wma3,marketcap-btc--wma7,marketcap-btc--wma14,marketcap-btc--wma30,marketcap-btc--wma90,marketcap-btc--std90,marketcap-btc--mom30,marketcap-btc--mom90,marketcap-btc--var90,marketcap-btc--trx30,marketcap-btc--rsi30,marketcap-btc--roc90,transactionvalue-btc--std90,transactionvalue-btc--var30,transactionvalue-btc--var90,transactionvalue-btc--trx30,transactionvalue-btc--trx90,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--ema7,mediantransactionvalue-btc--ema14,mediantransactionvalue-btc--std90,mediantransactionvalue-btc--var30,mediantransactionvalue-btc--var90,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--sma3,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema7,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma7,fee_to_reward-btc--wma14,fee_to_reward-btc--wma90,fee_to_reward-btc--var30,fee_to_reward-btc--trx30,size-btc--sma90,size-btc--ema90,size-btc--wma30,size-btc--wma90,size-btc--std14,size-btc--std90,size-btc--trx30,size-btc--trx90,transactions-btc--wma90,transactions-btc--std30,transactions-btc--var30,transactions-btc--var90,transactions-btc--trx90,sentbyaddress-btc--std90,sentbyaddress-btc--trx30,sentbyaddress-btc--trx90,top100cap-btc--sma90,top100cap-btc--ema30,top100cap-btc--wma30,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--var30,activeaddresses-btc--sma90,activeaddresses-btc--ema30,activeaddresses-btc--std30,activeaddresses-btc--trx90,price-btc--sma3,price-btc--sma14,price-btc--sma30,price-btc--sma90,price-btc--ema3,price-btc--ema7,price-btc--ema14,price-btc--ema90,price-btc--wma3,price-btc--wma14,price-btc--wma30,price-btc--wma90,price-btc--std30,price-btc--std90,price-btc--mom30,price-btc--mom90,price-btc--var30,price-btc--var90,price-btc--trx30,price-btc--trx90,price-btc--rsi90,price-btc--roc7,price-btc--roc90,30d_binary_price_change
2013/04/01,1039517192.0,0.0474,6695826.0,5956136.0,5182950.0,6690038.0,6096133.0,5385392.0,4296620.0,6695826.0,6368099.0,4430808.0,1899346.0,2161986.0,901878886924.0,1.046,0.271,53495262808157.0,44956251399826.0,35799562131248.0,57669081336507.0,55439878831239.0,37564285480092.0,2.0,1.373,0.372,6932.0,6279.0,5449.0,3913.0,6990.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1929846.0,1.522,1.215,0.091,221.516,83568369.0,0.073,0.045,0.067,2.712,1.218,55.785,624.061,0.045,0.017,0.038,0.046,0.044,0.023,0.031,0.041,2.482,606.456,8.4,8.24,991852178.0,616948319.0,352418998.0,929243159.0,824742386.0,669282203.0,1005258635.0,966815475.0,881124856.0,725365498.0,468618640.0,455860515.0,680338013.0,897213385.0,5.195220233693293e+16,2.586,93.977,630.491,1697.0,1030745.0,719749.0,3.059,-0.116,26.683,56.845,53.027,28.818,244.368,207.617,2.119,0.207,1.136,1.154,1.279,1.237,1.172,1.215,1.157,1.22,1.205,1.245,0.329,0.05,154528.0,149099.0,151140.0,156022.0,51899.0,50776.0,-0.019,0.334,54403.0,17233.0,74247499.0,64627438.0,0.394,10848.0,0.406,0.253,19.396,19.545,19.568,19.428,0.367,0.034,57136.0,66879.0,20592.0,0.27,90.406,73.635,56.481,32.485,90.961,84.752,75.294,39.444,91.616,80.404,66.298,43.032,37.068,41.348,61.597,81.308,343.518,427.406,2.538,1.025,91.45,36.98,606.456,1.0
2013/04/02,1183101461.0,0.0539,6695826.0,6088148.0,5260549.0,6692932.0,6176092.0,5469936.0,4349349.0,6695826.0,6466725.0,4492115.0,1949365.0,2230475.0,950005633515.0,1.085,0.279,54665535479792.0,45919538052526.0,36372002455880.0,59321581487439.0,56553256710420.0,38225151777783.0,2.017,1.406,0.384,7394.0,6503.0,5582.0,3977.0,7490.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,2079147.0,1.605,1.241,0.104,257.863,94000481.0,0.078,0.047,0.094,2.777,1.251,58.315,869.772,0.049,0.017,0.04,0.05,0.047,0.023,0.038,0.047,2.534,716.218,8.367,8.212,1066526516.0,644647072.0,364007125.0,992707735.0,872523596.0,702431833.0,1100883277.0,1029818260.0,931363359.0,761891508.0,486875397.0,485734098.0,830962611.0,1042931435.0,5.898440351722694e+16,2.665,95.152,744.047,1835.0,1166540.0,841849.0,3.125,-0.089,27.577,66.372,58.618,32.06,308.786,256.962,2.21,0.23,1.094,1.163,1.286,1.243,1.214,1.223,1.161,1.229,1.229,1.248,0.328,0.038,155210.0,149678.0,152459.0,156482.0,52503.0,50230.0,-0.015,0.331,54635.0,17526.0,76789294.0,63840999.0,0.392,11689.0,0.432,0.256,19.401,19.576,19.602,19.442,0.408,0.042,57678.0,68492.0,21588.0,0.274,97.171,77.661,58.991,33.536,99.355,90.501,79.621,40.945,100.288,84.952,69.605,44.686,40.279,44.05,75.291,94.548,405.594,485.111,2.617,1.057,92.645,50.27,716.218,1.0
2013/04/03,1318189886.0,0.06,6695826.0,6220161.0,5338147.0,6694379.0,6245390.0,5549026.0,4400920.0,6695826.0,6547748.0,4552514.0,1986041.0,2293952.0,986089374520.0,1.122,0.288,55777688549531.0,46674364484225.0,36897241249133.0,60165619495677.0,57300567652967.0,38841863840867.0,2.015,1.435,0.396,8021.0,6645.0,5743.0,4050.0,8171.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2305788.0,1.738,1.276,0.117,288.861,102642361.0,0.085,0.052,0.121,2.871,1.288,60.746,1028.0,0.054,0.018,0.043,0.056,0.051,0.024,0.027,0.053,2.599,808.284,8.373,8.203,1180269513.0,676520635.0,377094375.0,1074078272.0,931945768.0,742158159.0,1226714962.0,1112382477.0,993687854.0,805345883.0,507846447.0,522966667.0,956206879.0,1177852524.0,6.837353381290434e+16,2.756,95.925,839.301,1965.0,1276352.0,964945.0,3.214,-0.059,28.497,75.413,64.473,35.657,393.331,317.859,2.327,0.256,1.267,1.227,1.299,1.25,1.31,1.247,1.17,1.297,1.287,1.255,0.331,0.036,156056.0,150437.0,154304.0,157119.0,47145.0,49584.0,-0.006,0.329,54876.0,17519.0,76727861.0,63855681.0,0.391,13162.0,0.468,0.26,19.405,19.602,19.632,19.454,0.437,0.048,58298.0,70985.0,25575.0,0.279,107.489,82.108,61.879,34.722,109.679,97.877,85.006,42.682,111.703,90.598,73.541,46.586,44.695,47.421,86.649,106.79,499.422,562.186,2.707,1.09,93.508,51.448,808.284,0.0
2013/04/04,1357824968.0,0.0618,6695826.0,6352174.0,5415745.0,6695103.0,6305448.0,5623013.0,4451358.0,6695826.0,6611170.0,4612006.0,2010105.0,2352822.0,1010130109937.0,1.154,0.296,55963936181944.0,47372797279589.0,37301092103880.0,59239759066545.0,57233203198374.0,39339807259569.0,1.969,1.456,0.407,8540.0,6794.0,5910.0,4122.0,8474.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2513253.0,1.884,1.316,0.132,288.561,108586735.0,0.093,0.056,0.131,2.985,1.328,61.387,1244.0,0.059,0.019,0.045,0.06,0.054,0.025,0.043,0.055,2.674,834.762,8.339,8.266,1286372105.0,708525651.0,390620653.0,1145014946.0,988729661.0,781878598.0,1315492689.0,1188777207.0,1054749313.0,849301001.0,529400965.0,559483423.0,960150478.0,1217365028.0,7.825542515096218e+16,2.854,96.113,866.699,2068.0,1387167.0,1069102.0,3.307,-0.027,29.741,87.388,72.319,40.642,567.056,412.95,2.481,0.285,1.627,1.3,1.315,1.261,1.469,1.292,1.187,1.461,1.383,1.271,0.344,0.049,156943.0,152000.0,158518.0,158559.0,53720.0,51353.0,0.013,0.327,55177.0,18049.0,81439397.0,65661184.0,0.389,14643.0,0.514,0.264,19.41,19.627,19.661,19.467,0.459,0.053,58982.0,73431.0,29141.0,0.284,117.104,86.363,64.777,35.948,116.62,104.298,90.146,44.46,119.74,96.125,77.521,48.539,48.85,50.724,86.935,110.343,596.59,643.239,2.805,1.126,93.724,44.093,834.762,0.0
2013/04/05,1414392012.0,0.0643,6740002.0,6506275.0,5503651.0,6850081.0,6398730.0,5712177.0,4507483.0,6850442.0,6698222.0,4677386.0,2049389.0,2423226.0,1049998827349.0,1.184,0.305,55757270220747.0,47974562797815.0,37620089085017.0,57385663183689.0,56680072340202.0,39753796023936.0,1.873,1.468,0.419,9193.0,7008.0,6087.0,4210.0,9212.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2836428.0,2.074,1.368,0.147,379.844,114080731.0,0.096,0.059,0.11,3.093,1.37,58.864,1049.0,0.062,0.019,0.048,0.063,0.058,0.026,0.045,0.058,2.755,876.762,8.334,8.316,1363468955.0,741556324.0,404780326.0,1212359213.0,1045484641.0,822685915.0,1379502643.0,1264378606.0,1117079745.0,894840766.0,551901435.0,596666721.0,990920185.0,1274370485.0,8.90027940952962e+16,2.957,96.361,910.125,2170.0,1503864.0,1177635.0,3.4,0.006,30.977,96.837,79.367,45.16,726.635,509.864,2.658,0.317,1.659,1.319,1.232,1.267,1.46,1.301,1.193,1.474,1.4,1.274,0.113,0.063,157741.0,152837.0,160641.0,159287.0,51407.0,51155.0,0.034,0.326,55352.0,17976.0,80782038.0,64193454.0,0.388,15788.0,0.564,0.269,19.413,19.64,19.678,19.477,0.464,0.054,59500.0,75147.0,31093.0,0.29,124.076,90.858,67.766,37.231,122.642,110.389,95.282,46.311,125.52,101.765,81.643,50.576,52.973,54.087,89.674,115.491,701.54,731.342,2.907,1.164,94.013,48.589,876.762,0.0
2013/04/06,1474827634.0,0.0671,6879599.0,6708086.0,5613822.0,7261540.0,6568632.0,5838682.0,4577055.0,7287490.0,6853785.0,4756464.0,2146374.0,2526499.0,1151730788639.0,1.216,0.314,56432105022907.0,48957293289103.0,38152135802938.0,58293873861928.0,57489531610825.0,40380708754402.0,1.8,1.479,0.431,9217.0,7170.0,6217.0,4283.0,9068.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3037954.0,2.225,1.419,0.163,285.864,115485795.0,0.097,0.06,0.087,3.173,1.411,56.7,626.386,0.064,0.02,0.05,0.065,0.061,0.027,0.047,0.06,2.84,922.051,8.328,8.348,1415681538.0,776234498.0,419616955.0,1277976318.0,1102730374.0,864759574.0,1435181982.0,1338476055.0,1180841788.0,942148593.0,575418958.0,634738238.0,1040345240.0,1335296658.0,1.0072315767911875e+17,3.062,96.601,956.989,2215.0,1477977.0,1226309.0,3.465,0.04,31.783,95.169,80.807,46.74,741.764,546.156,2.811,0.35,1.442,1.318,1.213,1.267,1.332,1.278,1.187,1.363,1.351,1.267,0.113,0.068,158385.0,152963.0,160741.0,159305.0,45721.0,49700.0,0.052,0.324,55309.0,17461.0,76225007.0,59472284.0,0.386,15763.0,0.607,0.274,19.416,19.653,19.695,19.486,0.467,0.055,59954.0,75659.0,31352.0,0.296,128.78,95.893,70.904,38.576,128.378,116.32,100.46,48.24,130.538,107.532,85.923,52.706,57.016,57.528,94.124,120.991,812.71,827.367,3.011,1.203,94.297,53.353,922.051,0.0
2013/04/07,1563013110.0,0.071,7019195.0,6857511.0,5723993.0,7467270.0,6715881.0,5957025.0,4645098.0,7561676.0,6982440.0,4834395.0,2217375.0,2621567.0,1229187540768.0,1.248,0.324,56606848019815.0,49888014119461.0,38691869403926.0,59289674782452.0,58326586227485.0,41016974443350.0,1.745,1.489,0.443,9428.0,7477.0,6370.0,4360.0,9240.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3286874.0,2.354,1.472,0.179,284.158,115946907.0,0.1,0.062,0.109,3.244,1.452,58.303,925.944,0.067,0.021,0.053,0.069,0.064,0.028,0.05,0.064,2.93,979.512,8.321,8.377,1484077585.0,813375690.0,435428226.0,1349235516.0,1164101405.0,909808190.0,1508847768.0,1416200260.0,1248942242.0,992908503.0,600548544.0,675664378.0,1114235739.0,1423014406.0,1.1413058805451376e+17,3.168,96.909,1016.0,2223.0,1397038.0,1235699.0,3.48,0.073,32.319,87.45,78.605,47.111,716.987,554.859,2.913,0.383,1.227,1.349,1.217,1.272,1.324,1.28,1.19,1.36,1.349,1.268,0.113,0.072,159496.0,154115.0,163956.0,160339.0,42268.0,49383.0,0.074,0.323,55522.0,17759.0,78845320.0,58397618.0,0.384,15865.0,0.64,0.278,19.418,19.66,19.706,19.494,0.47,0.055,60321.0,76397.0,31346.0,0.302,134.952,101.415,74.263,40.008,135.229,122.76,106.009,50.303,137.188,113.691,90.515,54.981,61.353,61.227,100.79,128.918,941.058,937.173,3.117,1.245,94.67,59.552,979.512,0.0
2013/04/08,1799989332.0,0.0818,7158791.0,6927309.0,5834164.0,7570135.0,6843497.0,6067733.0,4711645.0,7673000.0,7091172.0,4911181.0,2264835.0,2711968.0,1282369083736.0,1.279,0.334,57409957956603.0,50810250348052.0,39233765319653.0,60153700465301.0,59225424300777.0,41657508084677.0,1.701,1.498,0.455,9486.0,7854.0,6535.0,4453.0,9682.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,3575871.0,2.483,1.528,0.196,456.035,119753751.0,0.103,0.064,0.112,3.305,1.494,58.463,989.802,0.073,0.022,0.057,0.076,0.07,0.03,0.06,0.075,3.033,1120.0,8.346,8.44,1612610025.0,857732657.0,453843044.0,1461923970.0,1248886462.0,967239231.0,1666803642.0,1532238083.0,1340503509.0,1056560996.0,630538898.0,730830417.0,1330709019.0,1657333580.0,1.3352827466677536e+17,3.286,97.53,1162.0,2296.0,1372963.0,1317457.0,3.493,0.108,33.565,98.242,85.54,51.324,854.698,658.551,3.035,0.418,1.144,1.347,1.216,1.274,1.289,1.274,1.19,1.319,1.327,1.266,0.113,0.073,160005.0,155017.0,166413.0,161122.0,42889.0,49894.0,0.099,0.322,55688.0,17934.0,80403360.0,56310715.0,0.383,16667.0,0.677,0.283,19.421,19.662,19.712,19.499,0.47,0.055,60965.0,78816.0,33938.0,0.309,146.585,108.159,78.277,41.677,149.395,132.96,113.683,52.792,151.492,121.977,96.276,57.696,68.074,66.216,120.4,150.154,1159.0,1096.0,3.234,1.289,95.477,72.687,1120.0,0.0
2013/04/09,2151102847.0,0.0977,7298387.0,6997107.0,5944335.0,7621567.0,6954098.0,6171299.0,4776730.0,7673000.0,7190598.0,4986854.0,2290219.0,2798086.0,1311275417545.0,1.308,0.344,58472556627847.0,51677790418136.0,39802509901107.0,61535531505530.0,60252315743341.0,42327366992383.0,1.67,1.506,0.467,10963.0,8419.0,6805.0,4578.0,11517.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,4379283.0,2.722,1.606,0.215,532.828,131209654.0,0.109,0.068,0.134,3.369,1.538,60.061,1292.0,0.084,0.023,0.062,0.088,0.078,0.031,0.053,0.091,3.161,1337.0,8.357,8.429,1838035096.0,913331396.0,476135446.0,1634218689.0,1369181980.0,1043617529.0,1936050053.0,1708894567.0,1468946073.0,1140004234.0,667841311.0,809883232.0,1667962182.0,2006316195.0,1.6397771221867283e+17,3.427,98.112,1386.0,2499.0,1634615.0,1560757.0,3.546,0.145,35.483,121.968,99.887,61.185,1362.0,935.916,3.222,0.459,1.199,1.341,1.209,1.275,1.244,1.263,1.188,1.248,1.295,1.263,0.113,0.07,160347.0,155546.0,167756.0,161542.0,41727.0,49992.0,0.122,0.321,55965.0,17120.0,73273707.0,56620209.0,0.382,17992.0,0.721,0.289,19.424,19.665,19.718,19.506,0.465,0.054,61586.0,80962.0,35879.0,0.317,167.012,116.995,83.309,43.696,172.396,148.569,124.578,55.926,175.898,133.608,103.832,61.074,78.796,73.372,150.978,181.794,1552.0,1346.0,3.375,1.338,96.314,81.344,1337.0,0.0
2013/04/10,1965870661.0,0.0892,7437983.0,7066905.0,6054505.0,7647284.0,7049951.0,6268182.0,4840384.0,7673000.0,7280717.0,5061446.0,2294259.0,2878277.0,1315906542194.0,1.335,0.355,60223121319068.0,52725657551404.0,40470729548145.0,64074433030924.0,61816842038471.0,43098468655225.0,1.669,1.518,0.48,11927.0,8884.0,7054.0,4689.0,11911.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,4971618.0,2.957,1.69,0.235,439.973,151433519.0,0.118,0.074,0.141,3.457,1.585,62.619,350.16,0.09,0.023,0.066,0.091,0.082,0.033,0.044,0.082,3.289,1198.0,8.315,8.377,1972320947.0,962494324.0,496351594.0,1717131682.0,1448740471.0,1103117731.0,1999967835.0,1804671525.0,1559682438.0,1207909993.0,700582744.0,864916406.0,1474887822.0,1819453286.0,1.87020097431988e+17,3.567,86.938,1243.0,2864.0,2400528.0,2050656.0,3.666,0.188,39.108,176.263,131.789,88.13,3689.0,1942.0,3.576,0.514,1.211,1.308,1.213,1.246,1.268,1.268,1.191,1.244,1.295,1.264,0.113,0.069,160400.0,155830.0,168423.0,161720.0,41760.0,50016.0,0.141,0.32,56167.0,17360.0,75345573.0,57499297.0,0.381,19967.0,0.775,0.295,19.429,19.672,19.728,19.513,0.464,0.054,62389.0,84349.0,40334.0,0.325,179.152,124.085,87.755,45.527,175.448,156.052,131.767,58.62,181.642,141.809,109.974,64.037,84.519,78.344,133.379,164.748,1786.0,1534.0,3.514,1.389,87.615,48.746,1198.0,0.0
2013/04/11,1267079990.0,0.0575,7577580.0,7136703.0,6164676.0,7660142.0,7133024.0,6358816.0,4902639.0,7673000.0,7361530.0,5134959.0,2277070.0,2953023.0,1296262457682.0,1.358,0.365,61109257991306.0,53954152826930.0,41029324032980.0,65178541237577.0,62571996343681.0,43763128342763.0,1.659,1.527,0.493,10916.0,8860.0,7116.0,4746.0,9502.0,9027.0,7645.0,5463.0,9873.0,10242.0,9608.0,8154.0,5840.0,4949018.0,2.959,1.746,0.254,264.198,153047169.0,0.117,0.075,0.095,3.505,1.629,55.42,844.631,0.081,0.024,0.065,0.075,0.077,0.034,0.035,0.051,3.37,722.163,8.26,8.421,1794684499.0,988725277.0,508774849.0,1604618759.0,1424519073.0,1113695941.0,1647347356.0,1702619360.0,1546790790.0,1227560681.0,717521830.0,876642040.0,786928599.0,1118093015.0,1.9212531661372112e+17,3.654,60.187,750.464,2905.0,2336379.0,2109843.0,3.742,0.231,40.236,160.976,129.566,89.385,3671.0,1997.0,3.842,0.568,1.338,1.325,1.201,1.247,1.342,1.287,1.2,1.304,1.329,1.271,0.1,0.075,160726.0,157163.0,172195.0,162953.0,45903.0,51080.0,0.166,0.319,56467.0,17856.0,79710752.0,59494684.0,0.38,21154.0,0.831,0.303,19.438,19.705,19.764,19.53,0.501,0.063,63095.0,86946.0,42871.0,0.335,162.965,126.174,90.118,46.649,145.224,145.789,129.532,59.859,149.566,140.598,111.731,65.564,83.463,79.392,70.892,101.012,1742.0,1576.0,3.601,1.438,65.226,-6.929,722.163,0.0
2013/04/12,1018942331.0,0.0462,7673000.0,7206501.0,6274847.0,7666571.0,7205021.0,6443602.0,4963526.0,7673000.0,7433036.0,5207391.0,2238163.0,3022728.0,1252343164010.0,1.378,0.376,61439083798710.0,54950625608863.0,41527323059214.0,65353941742857.0,62915865908394.0,44368584954551.0,1.63,1.533,0.505,8586.0,8853.0,7160.0,4791.0,7931.0,8671.0,7562.0,5483.0,7595.0,9290.0,9275.0,8105.0,5876.0,4908464.0,2.789,1.774,0.273,178.631,153054969.0,0.113,0.075,0.078,3.507,1.67,53.934,692.026,0.064,0.024,0.062,0.057,0.07,0.034,0.025,0.039,3.398,561.246,8.232,8.425,1417297661.0,1007159863.0,518441394.0,1458199652.0,1370442174.0,1107582805.0,1259476272.0,1541773671.0,1497695668.0,1229510169.0,728734302.0,879739053.0,553037582.0,869989024.0,1.934852002801282e+17,3.682,54.075,584.068,2907.0,2208171.0,2112289.0,3.755,0.272,41.177,145.382,125.437,90.037,3601.0,2027.0,4.017,0.621,1.398,1.319,1.199,1.248,1.329,1.287,1.202,1.309,1.325,1.272,0.099,0.079,160733.0,157309.0,172486.0,163020.0,46824.0,51081.0,0.185,0.318,56549.0,17888.0,79995518.0,58683492.0,0.379,21584.0,0.881,0.31,19.446,19.733,19.795,19.545,0.525,0.069,63675.0,87979.0,43031.0,0.344,128.648,126.592,91.774,47.521,118.835,132.453,124.587,60.575,114.306,136.1,111.881,66.571,81.591,79.661,49.659,78.465,1664.0,1586.0,3.629,1.484,59.742,-28.15,561.246,1.0
2013/04/13,1085384852.0,0.0492,7673000.0,7276299.0,6375101.0,7669785.0,7267418.0,6522918.0,5023075.0,7673000.0,7495236.0,5278743.0,2210075.0,3087734.0,1221108094430.0,1.394,0.387,61782278732706.0,55725770086524.0,41997335109082.0,64911460684914.0,63112370912324.0,44946063782755.0,1.581,1.533,0.518,6682.0,8852.0,7215.0,4839.0,7263.0,8395.0,7500.0,5507.0,6600.0,8526.0,8974.0,8069.0,5915.0,4872858.0,2.527,1.78,0.291,187.901,152519887.0,0.108,0.075,0.063,3.464,1.706,52.733,571.828,0.051,0.025,0.061,0.05,0.064,0.035,0.028,0.042,3.387,607.072,8.251,8.45,1123802391.0,1027615878.0,528852702.0,1364995952.0,1332434531.0,1106150679.0,1093519868.0,1411661816.0,1456795641.0,1234556942.0,741194598.0,884141326.0,613680429.0,937017691.0,1.954264710232443e+17,3.667,55.332,631.553,2900.0,2053298.0,2102569.0,3.712,0.312,41.856,126.736,118.152,89.999,3510.0,2025.0,4.094,0.671,1.271,1.283,1.192,1.246,1.237,1.266,1.196,1.237,1.277,1.266,0.101,0.075,160542.0,157042.0,171586.0,162678.0,50073.0,51184.0,0.197,0.317,56515.0,17878.0,79907573.0,58358928.0,0.378,21686.0,0.917,0.317,19.456,19.759,19.825,19.561,0.546,0.075,63979.0,87648.0,42300.0,0.353,101.96,127.377,93.612,48.46,108.635,123.949,121.1,61.407,99.199,132.346,112.311,67.69,79.6,80.046,55.132,84.513,1584.0,1602.0,3.616,1.526,60.631,-26.603,607.072,1.0
2013/04/14,1013148373.0,0.0459,7673000.0,7346097.0,6469279.0,7671393.0,7321496.0,6597117.0,5081315.0,7673000.0,7548129.0,5349015.0,2182310.0,3148331.0,1190619441762.0,1.405,0.398,62288221277125.0,56365301454215.0,42428968868517.0,64111191850851.0,63092956569749.0,45485123414557.0,1.513,1.529,0.53,6245.0,8767.0,7258.0,4877.0,6521.0,8046.0,7389.0,5513.0,6148.0,7641.0,8564.0,7976.0,5936.0,4813521.0,2.193,1.763,0.307,143.822,151993415.0,0.105,0.075,0.078,3.396,1.738,53.739,706.984,0.047,0.025,0.059,0.047,0.058,0.035,0.022,0.039,3.343,556.932,8.286,8.525,1039158519.0,1045551117.0,538453760.0,1277034057.0,1289863044.0,1100150530.0,1038192859.0,1277399512.0,1405061165.0,1233623555.0,751838459.0,886199895.0,538057176.0,864095279.0,1.963375635312388e+17,3.616,53.68,579.723,2889.0,2147692.0,2087001.0,3.608,0.349,42.28,107.185,108.869,89.76,3442.0,2014.0,4.079,0.717,1.21,1.304,1.189,1.251,1.272,1.274,1.2,1.269,1.29,1.269,0.099,0.074,161076.0,157441.0,172644.0,163000.0,47285.0,50778.0,0.207,0.316,56523.0,17669.0,78047862.0,57106130.0,0.376,21536.0,0.936,0.323,19.466,19.784,19.854,19.576,0.559,0.078,64280.0,86599.0,41904.0,0.361,94.243,127.577,95.22,49.325,100.242,115.924,117.2,62.076,94.144,127.609,112.197,68.643,77.413,80.219,48.253,77.867,1498.0,1609.0,3.566,1.564,59.178,-35.354,556.932,1.0
2013/04/15,961179992.0,0.0436,7673000.0,7415895.0,6563458.0,7672196.0,7368363.0,6666529.0,5138275.0,7673000.0,7591716.0,5418207.0,2137654.0,3204770.0,1142391637396.0,1.413,0.409,62037669432380.0,57066213968040.0,42858978042953.0,63438685498154.0,63053778573514.0,46022697086025.0,1.434,1.52,0.542,6080.0,8670.0,7296.0,4921.0,6193.0,7755.0,7291.0,5521.0,5958.0,6907.0,8177.0,7886.0,5958.0,4725580.0,1.833,1.73,0.323,204.784,151628775.0,0.107,0.076,0.109,3.328,1.769,55.764,1040.0,0.046,0.026,0.057,0.045,0.052,0.036,0.021,0.037,3.27,523.689,8.304,8.557,1019904406.0,1061543417.0,547478560.0,1198070541.0,1246038637.0,1091184689.0,999203596.0,1149783139.0,1346052929.0,1228180256.0,761129145.0,886692561.0,479769021.0,812231991.0,1.9655592463753626e+17,3.534,52.513,545.312,2883.0,2215376.0,2078022.0,3.467,0.383,42.878,97.703,103.587,89.754,3394.0,2014.0,4.011,0.761,1.374,1.37,1.224,1.259,1.4,1.307,1.213,1.4,1.354,1.28,0.102,0.084,161116.0,157538.0,172839.0,163018.0,42975.0,50775.0,0.214,0.315,56506.0,15863.0,62905985.0,55948836.0,0.375,21763.0,0.948,0.329,19.479,19.823,19.897,19.596,0.594,0.088,64753.0,87480.0,40530.0,0.37,92.464,127.033,96.652,50.138,93.675,108.72,113.187,62.627,90.576,122.213,111.674,69.473,75.138,80.252,42.949,73.141,1411.0,1610.0,3.486,1.598,58.164,-46.743,523.689,1.0
