bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-difficulty_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-mom-90,difficulty-btc-var-90,difficulty-btc-trx-90,difficulty-btc-rsi-90,difficulty-btc-roc-90,hashrate-btc-sma-3,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-14,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-mom-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-30,mining_profitability-btc-roc-90,sentinusd-btc-wma-90,sentinusd-btc-std-14,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-90,transactionfees-btc-sma-3,transactionfees-btc-sma-90,transactionfees-btc-ema-3,transactionfees-btc-ema-90,transactionfees-btc-wma-3,transactionfees-btc-std-90,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-ema-7,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-wma-90,median_transaction_fee-btc-std-90,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-14,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-30,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-30,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-14,marketcap-btc-sma-30,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-30,marketcap-btc-wma-90,marketcap-btc-std-30,marketcap-btc-std-90,marketcap-btc-mom-30,marketcap-btc-mom-90,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-30,marketcap-btc-roc-90,transactionvalue-btc-sma-30,transactionvalue-btc-sma-90,transactionvalue-btc-ema-14,transactionvalue-btc-ema-30,transactionvalue-btc-ema-90,transactionvalue-btc-wma-30,transactionvalue-btc-wma-90,transactionvalue-btc-std-14,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-14,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-14,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-mom-90,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-30,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-90,size-btc-sma-7,size-btc-sma-14,size-btc-sma-30,size-btc-sma-90,size-btc-ema-7,size-btc-ema-30,size-btc-ema-90,size-btc-wma-14,size-btc-wma-30,size-btc-wma-90,size-btc-std-90,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-sma-30,transactions-btc-ema-90,transactions-btc-wma-90,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-7,top100cap-btc-sma-90,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-7,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-30,top100cap-btc-mom-90,top100cap-btc-var-30,top100cap-btc-var-90,top100cap-btc-trx-30,top100cap-btc-rsi-30,top100cap-btc-rsi-90,top100cap-btc-roc-90
1039517192,94.715,0.0777,0.0474,6695826,7220.0,19.962,6695826,5956136,5182950,3906368,6690038,6526779,6096133,5385392,4296620,6695826,6695826,6368099,5652157,4430808,2161986,3716190,1168545930405.0,0.271,91.841,124.72,59387909975187.0,53495262808157.0,44956251399826.0,31776180357082.0,60545619812057.0,53347760970783.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,19252887180085.0,22738053510663.0,9.2668416192271e+25,1.2925476936344e+26,1.373,0.372,6932.0,6562.0,5449.0,3913.0,6990.0,6648.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,2778.0,4974.0,1929846.0,1.522,1.215,0.091,59.099,221.516,67298533,68367721,99974157,83568369,2498708038563228.0,1745918089683000.0,0.276,0.089,0.031,0.084,0.038,0.086,0.045,2.712,1.218,0.045,0.042,0.017,0.045,0.042,0.046,0.044,0.023,0.023,0.041,2.987,2.482,1.11,68.162,65.414,185.993,606.456,8.4,9.146,8.93,8.698,-0.057,991852178,931090321,806312686,616948319,997954603,929243159,824742386,669282203,428855865,1005258635,966815475,881124856,725365498,468618640,409268958,455860515,680338013,897213385,4.187527004296205e+16,5.195220233693293e+16,2.586,1.097,93.977,91.946,189.415,630.491,1883,1039,2446,2019,1335,2254,1380,1325.0,2031.0,1697.0,438600,1030745,719749,-0.116,41.397,26.683,53.027,31.061,50.469,207.617,2.119,0.207,1.154,1.279,1.237,1.172,1.189,1.215,1.157,1.205,1.188,1.245,1.147,0.077,0.329,0.229,0.742,168568,149845,154996,154528,158345,154181,149099,158761,151140,156022,50776,644540075,-0.019,0.334,54216,51153,54403,0.092,0.394,39879,41505,10848,29422322,0.406,0.253,19.799,19.396,19.671,19.545,19.501,19.922,19.86,19.706,19.568,19.428,0.322,0.694,0.426,0.034,0.026,0.011,65.405,50.301,2.183
1183101461,107.749,0.105,0.0539,6695826,7990.0,20.024,6695826,6088148,5260549,3947659,6692932,6569041,6176092,5469936,4349349,6695826,6695826,6466725,5749761,4492115,2230475,3716190,1243754847226.0,0.279,91.841,124.72,60633728191775.0,54665535479792.0,45919538052526.0,32209968678589.0,61195608357035.0,54480805761613.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,19640918710600.0,23513282442924.0,9.6441421949099e+25,1.3821861281017e+26,1.406,0.384,7394.0,6924.0,5582.0,3977.0,7490.0,6984.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,2884.0,5757.0,2079147.0,1.605,1.241,0.104,61.39,257.863,71854377,99072350,113391979,94000481,3214435238744518.0,2209022600061440.8,0.312,0.092,0.032,0.094,0.04,0.094,0.047,2.777,1.251,0.049,0.045,0.017,0.05,0.045,0.05,0.047,0.023,0.024,0.047,3.127,2.534,1.139,71.179,67.414,231.964,716.218,8.367,9.13,8.909,8.672,-0.059,1066526516,987933018,850756175,644647072,1090528032,992707735,872523596,702431833,445432691,1100883277,1029818260,931363359,761891508,486875397,444769123,485734098,830962611,1042931435,4.945489328610125e+16,5.898440351722694e+16,2.665,1.129,95.152,93.08,235.976,744.047,2012,1081,2706,2172,1403,2417,1454,1673.0,2160.0,1835.0,699432,1166540,841849,-0.089,44.077,27.577,58.618,32.466,80.441,256.962,2.21,0.23,1.163,1.286,1.243,1.214,1.209,1.223,1.161,1.229,1.192,1.248,1.145,0.079,0.328,0.227,0.733,170577,152916,155608,155210,162620,155553,149678,162174,152459,156482,50230,630754328,-0.015,0.331,54509,51415,54635,0.086,0.392,40218,41997,11689,34157477,0.432,0.256,19.861,19.401,19.718,19.576,19.513,19.974,19.917,19.764,19.602,19.442,0.345,0.677,0.427,0.042,0.03,0.014,66.711,50.893,2.179
1318189886,120.003,0.133,0.06,6695826,8852.0,19.987,6695826,6220161,5338147,3988950,6694379,6600737,6245390,5549026,4400920,6695826,6695826,6547748,5842360,4552514,2293952,3716190,1315553871298.0,0.288,91.841,124.72,62539358860900.0,55777688549531.0,46674364484225.0,32616029589136.0,60732987952966.0,55252747333251.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,20044305085355.0,24166298674113.0,1.004435415887e+26,1.4600249790161e+26,1.435,0.396,8021.0,7363.0,5743.0,4050.0,8171.0,7451.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,3037.0,6575.0,2305788.0,1.738,1.276,0.117,63.741,288.861,76240859,117121782,122981011,102642361,3781082247256207.0,2633863588145095.0,0.353,0.105,0.034,0.114,0.042,0.114,0.052,2.871,1.288,0.054,0.048,0.018,0.055,0.049,0.056,0.051,0.024,0.025,0.053,3.319,2.599,1.17,73.612,69.112,79.898,808.284,8.373,9.123,8.894,8.652,-0.061,1180269513,1052246046,899864027,676520635,1204358959,1074078272,931945768,742158159,464614168,1226714962,1112382477,993687854,805345883,507846447,493549055,522966667,956206879,1177852524,6.089766752797075e+16,6.837353381290434e+16,2.756,1.163,95.925,93.897,264.158,839.301,2144,1125,2942,2321,1470,2576,1528,1939.0,2260.0,1965.0,940396,1276352,964945,-0.059,46.873,28.497,64.473,34.005,82.801,317.859,2.327,0.256,1.227,1.299,1.25,1.31,1.26,1.247,1.17,1.287,1.212,1.255,1.151,0.073,0.331,0.227,0.725,169651,158643,156259,156056,168017,157402,150437,166346,154304,157119,49584,614641815,-0.006,0.329,54506,51687,54876,0.084,0.391,40562,42633,13162,43309807,0.468,0.26,19.906,19.405,19.754,19.602,19.523,19.995,19.948,19.81,19.632,19.454,0.364,0.592,0.366,0.048,0.033,0.017,65.191,50.53,1.864
1357824968,123.562,0.141,0.0618,6695826,8777.0,19.99,6695826,6352174,5415745,4030241,6695103,6624509,6305448,5623013,4451358,6695826,6695826,6611170,5929952,4612006,2352822,3716190,1383943002621.0,0.296,91.841,124.72,59129473196998.0,55963936181944.0,47372797279589.0,32978965966943.0,58002721546526.0,55255375040829.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,19731382020831.0,24532541967280.0,9.7331859112988e+25,1.5046140384409e+26,1.456,0.407,8540.0,7555.0,5910.0,4122.0,8474.0,7782.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,3171.0,6518.0,2513253.0,1.884,1.316,0.132,63.395,288.561,80005491,125118334,129336259,108586735,4181966971339743.0,2947769732649600.0,0.396,0.126,0.035,0.128,0.044,0.132,0.056,2.985,1.328,0.059,0.051,0.019,0.058,0.052,0.06,0.054,0.025,0.027,0.055,3.525,2.674,1.203,74.264,69.578,237.355,834.762,8.339,9.122,8.904,8.657,-0.063,1286372105,1111986416,946913769,708525651,1281091963,1145014946,988729661,781878598,484245175,1315492689,1188777207,1054749313,849301001,529400965,539459089,559483423,960150478,1217365028,7.27540271846002e+16,7.825542515096218e+16,2.854,1.2,96.113,94.103,241.441,866.699,2244,1165,3117,2446,1531,2712,1597,2083.0,2356.0,2068.0,1085025,1387167,1069102,-0.027,50.029,29.741,72.319,35.968,111.93,412.95,2.481,0.285,1.3,1.315,1.261,1.469,1.352,1.292,1.187,1.383,1.254,1.271,1.173,0.098,0.344,0.232,0.717,176267,165396,157161,156943,181405,161541,152000,174736,158518,158559,51353,659287348,0.013,0.327,54839,52017,55177,0.089,0.389,40971,43319,14643,53607673,0.514,0.264,19.947,19.41,19.786,19.627,19.534,19.995,19.969,19.852,19.661,19.467,0.383,0.659,0.45,0.053,0.037,0.02,65.257,50.559,2.302
1414392012,128.664,0.12,0.0643,7005058,9950.0,19.833,6740002,6506275,5503651,4074968,6850081,6719647,6398730,5712177,4507483,6850442,6773134,6698222,6032489,4677386,2423226,4025422,1468006625051.0,0.305,92.508,135.098,55786092478212.0,55757270220747.0,47974562797815.0,33303685514234.0,54909088146090.0,54796719001473.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,19126208338407.0,24746657364734.0,9.1452961351038e+25,1.5309926268188e+26,1.468,0.419,9193.0,8052.0,6087.0,4210.0,9212.0,8324.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,3368.0,7877.0,2836428.0,2.074,1.368,0.147,66.363,379.844,83741950,127162526,135208527,114080731,4570336442425772.0,3253603293525400.0,0.441,0.132,0.036,0.124,0.045,0.129,0.059,3.093,1.37,0.062,0.054,0.019,0.061,0.055,0.063,0.058,0.026,0.028,0.058,3.728,2.755,1.237,75.175,70.229,229.992,876.762,8.334,9.11,8.909,8.657,-0.065,1363468955,1178437837,996612312,741556324,1347741988,1212359213,1045484641,822685915,504687962,1379502643,1264378606,1117079745,894840766,551901435,585022130,596666721,990920185,1274370485,8.556272309817466e+16,8.90027940952962e+16,2.957,1.238,96.361,94.378,233.999,910.125,2341,1205,3281,2568,1593,2847,1667,2108.0,2453.0,2170.0,1110469,1503864,1177635,0.006,53.308,30.977,79.367,37.929,111.238,509.864,2.658,0.317,1.319,1.232,1.267,1.46,1.363,1.301,1.193,1.4,1.261,1.274,0.672,0.098,0.113,0.23,0.71,178017,169640,157013,157741,183570,163382,152837,178026,160641,159287,51155,654198460,0.034,0.326,54793,52220,55352,0.095,0.388,41318,43942,15788,62312782,0.564,0.269,19.943,19.413,19.792,19.64,19.54,19.911,19.94,19.866,19.678,19.477,0.392,0.443,0.29,0.054,0.038,0.023,59.122,49.033,1.485
1474827634,134.114,0.101,0.0671,7673000,8923.0,19.833,6879599,6708086,5613822,4127116,7261540,6957985,6568632,5838682,4577055,7287490,7006384,6853785,6172446,4756464,2526499,4693363,1595799220682.0,0.314,93.644,157.515,56305374878719.0,56432105022907.0,48957293289103.0,33759925800740.0,58368651448253.0,55734251767998.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,18840725883715.0,25312859842570.0,8.8743237956317e+25,1.6018521835239e+26,1.479,0.431,9217.0,8384.0,6217.0,4283.0,9068.0,8474.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,3486.0,6611.0,3037954.0,2.225,1.419,0.163,61.824,285.864,85896295,119556302,134073592,115485795,4493932018598449.5,3334242195953900.0,0.486,0.121,0.037,0.112,0.047,0.114,0.06,3.173,1.411,0.064,0.057,0.02,0.064,0.058,0.065,0.061,0.027,0.03,0.06,3.916,2.84,1.274,76.109,70.901,235.372,922.051,8.328,9.098,8.907,8.651,-0.066,1415681538,1252116292,1052259702,776234498,1411284811,1277976318,1102730374,864759574,526009713,1435181982,1338476055,1180841788,942148593,575418958,629729766,634738238,1040345240,1335296658,9.913989447586125e+16,1.0072315767911875e+17,3.062,1.278,96.601,94.647,239.445,956.989,2423,1239,3304,2626,1634,2919,1716,1987.0,2431.0,2215.0,987019,1477977,1226309,0.04,55.459,31.783,80.807,39.077,72.548,546.156,2.811,0.35,1.318,1.213,1.267,1.332,1.307,1.278,1.187,1.351,1.243,1.267,0.671,0.099,0.113,0.23,0.702,173848,172024,155571,158385,177319,163071,152963,176549,160741,159305,49700,617523242,0.052,0.324,54291,52205,55309,0.098,0.386,41563,44178,15763,62117197,0.607,0.274,19.925,19.416,19.797,19.653,19.547,19.859,19.913,19.876,19.695,19.486,0.4,0.444,0.23,0.055,0.04,0.026,59.132,49.037,1.171
1563013110,142.08,0.121,0.071,7673000,9411.0,19.767,7019195,6857511,5723993,4179265,7467270,7136739,6715881,5957025,4645098,7561676,7204734,6982440,6305297,4834395,2621567,4693363,1718152888140.0,0.324,93.644,157.515,58784561381311.0,56606848019815.0,49888014119461.0,34203852889091.0,60539333048057.0,56664353485313.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,18707180146223.0,25919505474601.0,8.7489647255807e+25,1.6795519101196e+26,1.489,0.443,9428.0,8732.0,6370.0,4360.0,9240.0,8709.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,3626.0,6962.0,3286874.0,2.354,1.472,0.179,63.066,284.158,87347514,106683468,131287264,115946907,4309086448057972.0,3360921285754477.0,0.53,0.114,0.038,0.117,0.048,0.114,0.062,3.244,1.452,0.067,0.061,0.021,0.068,0.061,0.069,0.064,0.028,0.032,0.064,4.092,2.93,1.312,77.395,71.841,244.103,979.512,8.321,9.1,8.904,8.644,-0.068,1484077585,1335838037,1113279831,813375690,1487148960,1349235516,1164101405,909808190,548800997,1508847768,1416200260,1248942242,992908503,600548544,677702511,675664378,1114235739,1423014406,1.148201734889614e+17,1.1413058805451376e+17,3.168,1.321,96.909,95.001,248.283,1016.0,2475,1261,3190,2614,1652,2921,1743,1741.0,2364.0,2223.0,757413,1397038,1235699,0.073,56.682,32.319,78.605,39.631,48.258,554.859,2.913,0.383,1.349,1.217,1.272,1.324,1.307,1.28,1.19,1.349,1.249,1.268,0.672,0.083,0.113,0.229,0.695,182074,177415,157037,159496,184342,165803,154115,181001,163956,160339,49383,609668881,0.074,0.323,54547,52451,55522,0.104,0.384,41727,44396,15865,62923228,0.64,0.278,19.914,19.418,19.793,19.66,19.551,19.8,19.874,19.873,19.706,19.494,0.404,0.261,0.141,0.055,0.041,0.028,56.711,48.404,0.72
1799989332,163.561,0.123,0.0818,7673000,10124.0,19.689,7158791,6927309,5834164,4229880,7570135,7270804,6843497,6067733,4711645,7673000,7368185,7091172,6431039,4911181,2711968,4555363,1838692472962.0,0.334,93.644,146.116,62628787655926.0,57409957956603.0,50810250348052.0,34633063475243.0,61943733308779.0,57555524163205.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,18541883113718.0,26548753749922.0,8.5950357350694e+25,1.762090814185e+26,1.498,0.455,9486.0,9147.0,6535.0,4453.0,9682.0,9062.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,3782.0,8304.0,3575871.0,2.483,1.528,0.196,64.797,456.035,90590471,101260392,131132652,119753751,4298943128844980.0,3585240197880137.0,0.574,0.115,0.04,0.12,0.05,0.119,0.064,3.305,1.494,0.073,0.066,0.022,0.075,0.066,0.076,0.07,0.03,0.034,0.075,4.304,3.033,1.352,80.346,74.12,278.959,1120.0,8.346,9.083,8.913,8.648,-0.069,1612610025,1444476915,1187783618,857732657,1643569146,1461923970,1248886462,967239231,576299641,1666803642,1532238083,1340503509,1056560996,630538898,751938281,730830417,1330709019,1657333580,1.413527946427534e+17,1.3352827466677536e+17,3.286,1.366,97.53,95.761,283.564,1162.0,2583,1297,3304,2706,1705,3022,1804,1680.0,2343.0,2296.0,705941,1372963,1317457,0.108,60.183,33.565,85.54,41.631,112.106,658.551,3.035,0.418,1.347,1.216,1.274,1.289,1.29,1.274,1.19,1.327,1.247,1.266,0.672,0.084,0.113,0.228,0.687,190055,179311,158313,160005,187036,167694,155017,183361,166413,161122,49894,622354878,0.099,0.322,54752,52650,55688,0.111,0.383,42067,44947,16667,69446512,0.677,0.283,19.875,19.421,19.779,19.662,19.554,19.739,19.817,19.856,19.712,19.499,0.408,0.174,0.294,0.055,0.042,0.03,54.048,47.679,1.514
2151102847,195.397,0.144,0.0977,7673000,13352.0,19.714,7298387,6997107,5944335,4279029,7621567,7371353,6954098,6171299,4776730,7673000,7496738,7190598,6549674,4986854,2798086,4423450,1957321566010.0,0.344,93.644,136.125,63723263997732.0,58472556627847.0,51677790418136.0,35121378181982.0,63527688542306.0,58563006778222.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,18701125323864.0,27149681059982.0,8.743302209472e+25,1.8427629541468e+26,1.506,0.467,10963.0,9913.0,6805.0,4578.0,11517.0,10135.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,4185.0,11242.0,4379283.0,2.722,1.606,0.215,71.132,532.828,96300581,121129865,145523932,131209654,5294303707697924.0,4303993317407992.0,0.623,0.129,0.041,0.132,0.052,0.133,0.068,3.369,1.538,0.084,0.072,0.023,0.086,0.074,0.088,0.078,0.031,0.037,0.091,4.608,3.161,1.397,83.624,76.92,119.952,1337.0,8.357,9.051,8.897,8.628,-0.07,1838035096,1582762827,1285347923,913331396,1897335997,1634218689,1369181980,1043617529,610910701,1936050053,1708894567,1468946073,1140004234,667841311,870274634,809883232,1667962182,2006316195,1.893444844507342e+17,1.6397771221867283e+17,3.427,1.416,98.112,96.548,345.233,1386.0,2761,1359,3673,2923,1801,3247,1909,2133.0,2557.0,2499.0,1137748,1634615,1560757,0.145,65.897,35.483,99.887,44.961,172.672,935.916,3.222,0.459,1.341,1.209,1.275,1.244,1.266,1.263,1.188,1.295,1.24,1.263,0.672,0.086,0.113,0.227,0.679,190581,180579,158105,160347,185059,168432,155546,183337,167756,161542,49992,624788508,0.122,0.321,54524,52961,55965,0.122,0.382,42470,45662,17992,80927400,0.721,0.289,19.83,19.424,19.771,19.665,19.558,19.714,19.777,19.839,19.718,19.506,0.413,0.301,0.329,0.054,0.043,0.032,54.763,47.935,1.699
1965870661,178.5,0.181,0.0892,7673000,12305.0,19.762,7437983,7066905,6054505,4328179,7647284,7446765,7049951,6268182,4840384,7673000,7590391,7280717,6661200,5061446,2878277,4423450,2071119322547.0,0.355,93.644,136.125,66222093728887.0,60223121319068.0,52725657551404.0,35644762825181.0,66867096191816.0,60115473053303.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,19206820698080.0,28005325368815.0,9.2225490332046e+25,1.9607456225329e+26,1.518,0.48,11927.0,10406.0,7054.0,4689.0,11911.0,10677.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,4459.0,10026.0,4971618.0,2.957,1.69,0.235,67.08,439.973,104318360,174525639,175702618,151433519,7717852482570384.0,5733027655108845.0,0.679,0.149,0.043,0.157,0.055,0.159,0.074,3.457,1.585,0.09,0.076,0.023,0.088,0.078,0.091,0.082,0.033,0.04,0.082,4.852,3.289,1.445,76.609,72.699,97.805,1198.0,8.315,9.026,8.867,8.595,-0.072,1972320947,1675288652,1363767349,962494324,1931603329,1717131682,1448740471,1103117731,640690041,1999967835,1804671525,1559682438,1207909993,700582744,933615576,864916406,1474887822,1819453286,2.179095110426944e+17,1.87020097431988e+17,3.567,1.468,86.938,87.849,300.395,1243.0,3006,1445,4267,3259,1940,3593,2058,3159.0,3099.0,2864.0,2494634,2400528,2050656,0.188,76.337,39.108,131.789,51.427,326.204,1942.0,3.576,0.514,1.308,1.213,1.246,1.268,1.276,1.268,1.191,1.295,1.248,1.264,0.673,0.069,0.113,0.143,0.672,188329,178990,158038,160400,180905,168432,155830,181719,168423,161720,50016,625390165,0.141,0.32,54676,53197,56167,0.134,0.381,42930,46570,19967,99673358,0.775,0.295,19.798,19.429,19.77,19.672,19.562,19.734,19.76,19.828,19.728,19.513,0.418,0.32,0.413,0.054,0.044,0.033,56.115,48.425,2.133
1267079990,115.0,0.107,0.0575,7673000,7092.0,20.19,7577580,7136703,6164676,4377328,7660142,7503324,7133024,6358816,4902639,7673000,7649145,7361530,6765619,5134959,2953023,4423450,2180085742573.0,0.365,93.644,136.125,67068308741765.0,61109257991306.0,53954152826930.0,36140003890285.0,66376937399976.0,60884980460614.0,41029324032980.0,67197497880486.0,65178541237577.0,62571996343681.0,58282455579911.0,43763128342763.0,17638256207232.0,28545384259058.0,7.7777020507993e+25,2.0370974062431e+26,1.527,0.493,10916.0,10166.0,7116.0,4746.0,9502.0,9781.0,7645.0,5463.0,9873.0,10242.0,9608.0,8154.0,5840.0,4004.0,4449.0,5145.0,4949018.0,2.959,1.746,0.254,51.867,264.198,106957011,171118940,173151660,153047169,7495374304932720.0,5855858996854238.0,0.734,0.144,0.044,0.132,0.056,0.138,0.075,3.505,1.629,0.081,0.076,0.024,0.073,0.073,0.075,0.077,0.034,0.04,0.051,4.812,3.37,1.49,57.769,60.154,160.724,722.163,8.26,8.989,8.87,8.594,-0.073,1794684499,1662325084,1387155750,988725277,1599341659,1604618759,1424519073,1113695941,654456853,1647347356,1702619360,1546790790,1227560681,717521830,922081787,876642040,786928599,1118093015,2.1255870552985856e+17,1.9212531661372112e+17,3.654,1.518,60.187,65.378,163.892,750.464,3096,1486,4235,3309,1985,3659,2115,3071.0,3057.0,2905.0,2356998,2336379,2109843,0.231,79.051,40.236,129.566,52.826,101.523,1997.0,3.842,0.568,1.325,1.201,1.247,1.342,1.314,1.287,1.2,1.329,1.271,1.271,0.631,0.074,0.1,0.143,0.664,187604,181935,159257,160726,189802,171533,157163,186719,172195,162953,51080,652279796,0.166,0.319,55339,53528,56467,0.149,0.38,43273,47304,21154,111875259,0.831,0.303,19.827,19.438,19.826,19.705,19.576,19.968,19.858,19.873,19.764,19.53,0.448,0.73,0.808,0.063,0.05,0.035,65.535,52.423,4.169
